raw,canonical_id,label,parent,family,founder,founded,note,status
Quan Fa,chuan-fa,Chuan Fa,,chinese,,,,proposed
Chuck Norris Syste,chun-kuk-do,Chun Kuk Do,tang-soo-do,korean,Chuck Norris,1990,"Chuck Norris; renamed Chuck Norris System; raw truncated | [taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/Chun_Kuk_Do",proposed
Chun Kuk Do was renamed to the Chuck Norris Syste,chun-kuk-do,Chun Kuk Do,tang-soo-do,korean,,,Scrape artefact sentence,proposed
Dai Nippon Butokukai,dai-nippon-butokukai,Dai Nippon Butokukai,,other,,,"Governing organisation, not a style",proposed
Daito-ryu,daito-ryu,Daito-Ryu Aiki-jujutsu,,other,,,,proposed
Daito-ryu Aiki-jujutsu,daito-ryu,Daito-Ryu Aiki-jujutsu,,other,,,,proposed
Enshin Karate,enshin,Enshin Karate,ashihara,kyokushin,Jōkō Ninomiya,1988,"Ninomiya Joko, ex-Ashihara | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https",proposed
Fujian White,fujian-white-crane,Fujian White Crane,,chinese,,,Truncated,proposed
Fujian White Crane,fujian-white-crane,Fujian White Crane,,chinese,,,,proposed
White Crane,fujian-white-crane,Fujian White Crane,,chinese,,,,proposed
Full contact karate,full-contact-karate,Full Contact Karate,,kyokushin,,,"Generic knockdown-rules genre label originating with Kyokushin; family kyokushin for colouring, no single parent style. B parented to kyokushin",proposed
Knockdown karate,full-contact-karate,Full Contact Karate,,kyokushin,,,"Generic knockdown-rules genre label originating with Kyokushin; family kyokushin for colouring, no single parent style. B parented to kyokushin",proposed
Goju-Kai,goju-kai,Goju-Kai,goju-ryu,naha-te,Gogen Yamaguchi,1950,"Yamaguchi Gogen, Japanese Goju-Ryu organisation; kept separate as a distinct organised lineage | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dgen_Y",proposed
Gojukai,goju-kai,Goju-Kai,goju-ryu,naha-te,,,,proposed
gojukai,goju-kai,Goju-Kai,goju-ryu,naha-te,,,,proposed
Goju Kan,goju-ryu,Goju-Ryu,naha-te,naha-te,Chojun Miyagi,1930,"Dojo/organisational variant | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/G%C5%8Dj%C5%AB-ry%C5%AB | https://www.houstonkarate.org/benefits/goju-ryu-histo",proposed
Goju-Ryu,goju-ryu,Goju-Ryu,naha-te,naha-te,,,Miyagi Chojun,proposed
Goju-Ryu Karate-do Kyokai,goju-ryu,Goju-Ryu,naha-te,naha-te,,,Organisation,proposed
Goju-ryu karate,goju-ryu,Goju-Ryu,naha-te,naha-te,,,,proposed
Gojuryu,goju-ryu,Goju-Ryu,naha-te,naha-te,,,,proposed
International Okinawan Goju-Ryu Karate-do Federation,goju-ryu,Goju-Ryu,naha-te,naha-te,,,"IOGKF (Higaonna Morio), organisation",proposed
gojukan,goju-ryu,Goju-Ryu,naha-te,naha-te,,,Dojo/organisational variant,proposed
gojuryu,goju-ryu,Goju-Ryu,naha-te,naha-te,,,,proposed
gojuryukenkyukai,goju-ryu,Goju-Ryu,naha-te,naha-te,,,Goju-ryu Kenkyukai organisation,proposed
Gosoku RyuBackground,gosoku-ryu,Gosoku-Ryu,shotokan,japanese,Takayuki Kubota,1953,"Scrape artefact suffix | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/plausible] https://e",proposed
Gosoku-ryu,gosoku-ryu,Gosoku-Ryu,,japanese,,,Kubota Takayuki; Shotokan and Goju-Ryu blend,proposed
Gosoku-ryuBackground,gosoku-ryu,Gosoku-Ryu,,japanese,,,Scrape artefact suffix,proposed
Hokushin Itto-ryu,hokushin-itto-ryu,Hokushin Itto-Ryu,,other,,,Kenjutsu koryu,proposed
Hozoin-ryu,hozoin-ryu,Hozoin-Ryu,,other,,,Sojutsu koryu,proposed
ISSHINRYU,isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,Tatsuo Shimabuku,1956, | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Isshin-ry%C5%AB,proposed
Isshin-Ryu,isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,,,"Shimabuku Tatsuo; Okinawan blend of Shorin-Ryu and Goju-Ryu, classed under shuri-te via dominant parent",proposed
Isshinkai,isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,,,Isshinkai organisation,proposed
Isshinryu,isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,,,,proposed
isshinkai,isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,,,Isshinkai organisation,proposed
isshinryu,isshin-ryu,Isshin-Ryu,shorin-ryu,shuri-te,,,,proposed
Itosu Ryu,itosu-ryu,Itosu-Ryu,shito-ryu,japanese,Ryusho Sakagami,1969,Sakagami line (Shito-ryu Itosu-kai) | [taxonomy:shito-ryu/confirmed] https://www.itosu-ryu.net/history | https://en.wikipedia.org/wiki/Shit%C5%8D-ry%C5%AB,proposed
Japanese Karate,japanese-karate-generic,Japanese Karate,,japanese,,,Generic mainland Japanese karate label; -generic id so the viz can treat it as unspecified within the japanese family,proposed
Jigen-ryu,jigen-ryu,Jigen-Ryu,,other,,,Satsuma kenjutsu; influenced Matsumura Sokon,proposed
Kodokan,judo,Judo,,other,,,Kodokan Judo,proposed
Kodokan Judo,judo,Judo,,other,,,,proposed
Jundokan,jundokan,Jundokan,goju-ryu,naha-te,Eiichi Miyazato,1957,"Miyazato Eiichi | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Eiichi_Miyazato",proposed
Kara-Ho Kempo,kara-ho-kempo,Kara-Ho Kempo,kosho-shorei-ryu,kenpo,William Kwai Sun Chow,1944,"William Chow | [taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/William_Kwai_Sun_Chow",proposed
Brazilian Association of Karate,karate-generic,Karate,,other,,,"National organisation, not a style",proposed
Dan Karate,karate-generic,Karate,,other,,,Scrape artefact rank phrase,proposed
Dan karate,karate-generic,Karate,,other,,,Scrape artefact rank phrase ('...Dan karate'),proposed
Karate,karate-generic,Karate,,other,,,Generic label; exclude from colouring,proposed
Katori Shinto-ryu,katori-shinto-ryu,Tenshin Shoden Katori Shinto-Ryu,,other,,,,proposed
Tenshin Shoden Katori Shinto-ryu,katori-shinto-ryu,Tenshin Shoden Katori Shinto-Ryu,,other,,,Kenjutsu koryu,proposed
Keijutsukai,keijutsukai-aikido,Keijutsukai Aikido,aikido,other,,,,proposed
Keijutsukai Aikido,keijutsukai-aikido,Keijutsukai Aikido,aikido,other,,,,proposed
Kempo,kenpo,Kenpo,,kenpo,,,,proposed
Kempo Karate,kenpo,Kenpo,,kenpo,,,,proposed
Kenpo,kenpo,Kenpo,,kenpo,,,,proposed
Kenpo Karate,kenpo,Kenpo,,kenpo,,,,proposed
Kenpo-Shotokan,kenpo,Kenpo,,kenpo,,,Hybrid scrape label (kenpo plus Shotokan),proposed
Kito-ryu,kito-ryu,Kito-Ryu,,other,,,"Jujutsu koryu, judo antecedent",proposed
Kobayashi Shorin-Ryu,kobayashi-shorin-ryu,Kobayashi Shorin-Ryu,shorin-ryu,shuri-te,Chōshin Chibana,1933,Chibana Choshin | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Chibana_Ch%C5%8Dshin | https://en.wikipedia.org/wiki/Sh%C5%8Drin-ry%C5%AB,proposed
Kobayashi Shorin-ryu Karate,kobayashi-shorin-ryu,Kobayashi Shorin-Ryu,shorin-ryu,shuri-te,,,,proposed
Kobayashi-ryu,kobayashi-shorin-ryu,Kobayashi Shorin-Ryu,shorin-ryu,shuri-te,,,,proposed
KobayashiShorin-ryu,kobayashi-shorin-ryu,Kobayashi Shorin-Ryu,shorin-ryu,shuri-te,,,"Scrape artefact, missing space",proposed
Shorin-ryu Kobayashi,kobayashi-shorin-ryu,Kobayashi Shorin-Ryu,shorin-ryu,shuri-te,,,,proposed
Koga-ryu,koga-ryu,Koga-Ryu,,other,,,Ninjutsu,proposed
Korean Martial Arts,korean-martial-arts,Korean Martial Arts,,korean,,,Generic,proposed
James MitoseKosho Shorei-Ryu Kenpo,kosho-shorei-ryu,Kosho Shorei-Ryu Kenpo,,kenpo,James Mitose,1936,"Scrape artefact with person-name prefix (James Mitose); maps to Kosho Shorei-Ryu Kenpo | [taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/James_Mitose",proposed
Kosho Shorei-Ryu Kenpo,kosho-shorei-ryu,Kosho Shorei-Ryu Kenpo,,kenpo,,,James Mitose; root of the Hawaiian-American kenpo line. B parented to the generic kenpo bucket; left empty since kenpo is a generic label,proposed
Kosho Shorei-ryu,kosho-shorei-ryu,Kosho Shorei-Ryu Kenpo,,kenpo,,,,proposed
Daido Juku,kudo,Kudo,kyokushin,kyokushin,Takashi Azuma,1981,"Daido Juku is the Kudo organisation | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirm",proposed
Kudo,kudo,Kudo,kyokushin,kyokushin,,,"Azuma Takashi, Daido Juku",proposed
Kung Fu,kung-fu,Kung Fu,,chinese,,,Generic Chinese martial arts label,proposed
Kushin-Ryu,kushin-ryu,Kushin-Ryu,,japanese,Sannosuke Ueshima,1932,"Ueshima Sannosuke, 1932 | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://",proposed
Dan Black Belt in Kyokushin Karate,kyokushin,Kyokushin,shotokan,kyokushin,Masutatsu (Mas) Ōyama,1964,"Scrape artefact rank phrase | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] http",proposed
KYOKUSHINKAI,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
KYOKUSHINKAIKAN,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
Kazumi Karate,kyokushin,Kyokushin,shotokan,kyokushin,,,"Kazumi Hajime's dojo (Kazumi Juku), Kyokushin lineage; collapsed to kyokushin. A kept a separate kazumi-juku node",proposed
Kyokushin,kyokushin,Kyokushin,shotokan,kyokushin,,,Oyama Masutatsu; Shotokan and Goju-Ryu background,proposed
Kyokushin Karate,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
Kyokushin kaikan,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
Kyokushin karate,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
Kyokushin-kai,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
Kyokushinkai,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
Kyokushinkaikan,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
kyokushinkai,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
kyokushinkaikan,kyokushin,Kyokushin,shotokan,kyokushin,,,,proposed
International Kyokushin Budokai,kyokushin-budokai,Kyokushin Budokai,kyokushin,kyokushin,Jon Bluming,," | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/plausible] https://en.wikipedia.org/wiki/J",proposed
Kyokushin Budokai,kyokushin-budokai,Kyokushin Budokai,kyokushin,kyokushin,,,Jon Bluming,proposed
Kyokushin-kan,kyokushin-kan,Kyokushin-kan,kyokushin,kyokushin,Hatsuo Royama (with Tsuyoshi Hiroshige),2003,"Royama Hatsuo, 2002 split organisation | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/conf",proposed
Kyokushin-kan Inte,kyokushin-kan,Kyokushin-kan,kyokushin,kyokushin,,,Truncated 'International',proposed
Kyokushin-kan Karate,kyokushin-kan,Kyokushin-kan,kyokushin,kyokushin,,,,proposed
Kyokushinkan,kyokushin-kan,Kyokushin-kan,kyokushin,kyokushin,,,,proposed
kyokushinkan,kyokushin-kan,Kyokushin-kan,kyokushin,kyokushin,,,,proposed
Matayoshi Kobudo,matayoshi-kobudo,Matayoshi Kobudo,okinawan-kobudo,kobudo,Matayoshi Shinkō,1960,"Matayoshi family lineage. B parented to generic okinawan-kobudo; reconciled to empty parent | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https:/",proposed
Matsubayashi-Ryu,matsubayashi-ryu,Matsubayashi-Ryu,shorin-ryu,shuri-te,Shōshin Nagamine,1947,Nagamine Shoshin | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/Matsubayashi-ry%C5%AB,proposed
World Matsubayashi-ryu,matsubayashi-ryu,Matsubayashi-Ryu,shorin-ryu,shuri-te,,,World Matsubayashi-ryu organisation,proposed
Shorin Ryu Matsumura Seito Karate,matsumura-seito,Matsumura Seito Shorin-Ryu,shorin-ryu,shuri-te,Hōhan Sōken,1952,Soken Hohan | [taxonomy:shorin-ryu-tree/confirmed] https://en.wikipedia.org/wiki/H%C5%8Dhan_S%C5%8Dken | https://www.kenshin-kan.com/hanshi-fusei-kise/,proposed
Meibukan,meibukan,Meibukan,goju-ryu,naha-te,Meitoku Yagi,1952,"Yagi Meitoku | [taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] https://en.wikipedia.org/wiki/Meitoku_Yagi | https://en.wikipedia.org/wiki/Meibukan",proposed
Kuniba-Kai,motobu-ha-shito-ryu,Motobu-ha Shito-Ryu,shito-ryu,japanese,Kosei Kuniba,1943,Kuniba-kai organisation | [taxonomy:shito-ryu/confirmed] https://en.wikipedia.org/wiki/Sh%C5%8Dg%C5%8D_Kuniba | https://www.internationalshitoryu.com/aboutus/organization-chart/hayashi-teruo/,proposed
Motobu-Ha Shito-Ryu,motobu-ha-shito-ryu,Motobu-ha Shito-Ryu,shito-ryu,japanese,,,Kuniba line with Motobu influence,proposed
Motobu-Ryu,motobu-ryu,Motobu-Ryu,tomari-te,tomari-te,Motobu Chōki,1922,"Motobu Choki | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dki | https://medium.com/motobu-ryu-blog/w",proposed
Motoburyu,motobu-ryu,Motobu-Ryu,tomari-te,tomari-te,,,,proposed
motoburyu,motobu-ryu,Motobu-Ryu,tomari-te,tomari-te,,,,proposed
Motobu Udundi,motobu-udundi,Motobu Udundi,te,tomari-te,"Motobu Chōhei (1st sōke, 17th century)",,"Motobu family palace art (Motobu Choyu to Uehara Seikichi); distinct from and sibling to Motobu Choki's Motobu-Ryu, so no parent set. B parented it to motobu-ryu | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ry",proposed
Mugai-ryu,mugai-ryu,Mugai-Ryu,,other,,,Iai koryu,proposed
Muso Jikiden Eishin-ryu,muso-jikiden-eishin-ryu,Muso Jikiden Eishin-Ryu,,other,,,Iaido koryu,proposed
Muso Shinden Ryu,muso-shinden-ryu,Muso Shinden-Ryu,,other,,,Iaido,proposed
Naha-te,naha-te,Naha-te,te,naha-te,,,,proposed
Nanban Satto-ryu,nanban-satto-ryu,Nanban Satto-Ryu,,other,,,Kenpo/jujutsu koryu,proposed
Nanbudo,nanbudo,Nanbudo,sankukai,japanese,Yoshinao Nanbu,1978,"Nanbu Yoshinao, ex-Shukokai (Tani Chojiro) via Sankukai. Curators disagreed: B parented to shito-ryu; shukokai is the immediate lineage | [taxonomy:shito-ryu/confirmed] https://www.worldnanbudo.com/yoshinao-nanbu/?lang=en | https://nanbudo.",proposed
Negishi-ryu,negishi-ryu,Negishi-Ryu,,other,,,Shurikenjutsu,proposed
Japan Kobudo,nihon-kobudo,Nihon Kobudo,,other,,,"Japanese koryu weapon arts, not Okinawan kobudo",proposed
Japanese Kobudo,nihon-kobudo,Nihon Kobudo,,other,,,"Japanese koryu weapon arts, not Okinawan kobudo",proposed
Japanese kobudo,nihon-kobudo,Nihon Kobudo,,other,,,"Japanese koryu weapon arts, not Okinawan kobudo",proposed
Nihon Kobudo,nihon-kobudo,Nihon Kobudo,,other,,,"Japanese koryu weapon arts, not Okinawan kobudo",proposed
Gosho-ha Hyoho Niten Ichi-ryu,niten-ichi-ryu,Niten Ichi-Ryu,,other,,,Kenjutsu; Gosho-ha branch,proposed
Niten Ichi-ryu,niten-ichi-ryu,Niten Ichi-Ryu,,other,,,Kenjutsu (Miyamoto Musashi line),proposed
Okinawan Karate,okinawan-karate-generic,Okinawan Karate,,other,,,Generic label; exclude from colouring,proposed
Ryukyu Bujutsu Kenkyu Doyukai,okinawan-karate-generic,Okinawan Karate,,other,,,"Research/preservation society, not a style. Curators disagreed: A mapped to okinawan-karate-generic, B to okinawan-kobudo; kept generic since the society covers karate and kobudo",proposed
Karate Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,"traditional (multiple lineages, no single founder)",,"Combined karate-and-kobudo scrape tag | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Okinawan_kobud%C5%8D",proposed
Karatedo Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Combined karate-and-kobudo scrape tag,proposed
Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,,proposed
Kyu Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact; read as rank-prefix fragment ('...kyu Kobudo'). B read it as truncated 'Ryukyu Kobudo'; either way family kobudo,proposed
Okinawa Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,,proposed
Okinawan Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,,proposed
Okinawan kobudoNunti Bo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact with weapon name suffix,proposed
and Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
and kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
detailing Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
do Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
from kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
illustrious kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
in Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
in kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
incorporated Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
jiku Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,"Scrape artefact prefix, likely '...juku Kobudo'",proposed
kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,,proposed
the Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
the kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix,proposed
und Kobudo,okinawan-kobudo,Okinawan Kobudo,,kobudo,,,Scrape artefact prefix (German 'und'),proposed
Ryoi-shito-ryu,ryoi-shinto-ryu,Ryoi Shinto-Ryu,,other,,,Jujutsu koryu; raw likely misparsed 'Ryoi Shinto-ryu',proposed
Ryuei-Ryu,ryuei-ryu,Ryuei-Ryu,naha-te,naha-te,Nakaima Norisato,1971,"Nakaima family, from Ryuru Ko | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] https://en.wikipedia.org/wiki/Ry%C5%ABei-ry%C5%AB | https://www.ryuei",proposed
Ryueiryu,ryuei-ryu,Ryuei-Ryu,naha-te,naha-te,,,,proposed
Ryukyo Kobudo,ryukyu-kobudo,Ryukyu Kobudo,okinawan-kobudo,kobudo,Taira Shinken,1955,"Typo for Ryukyu Kobudo; Taira Shinken lineage. B parented to generic okinawan-kobudo; reconciled to empty parent | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taid",proposed
Ryukyu Kobudo,ryukyu-kobudo,Ryukyu Kobudo,,kobudo,,,Taira Shinken lineage. B parented to generic okinawan-kobudo; reconciled to empty parent,proposed
Ryukyu Kobudo Hozon Shinkokai,ryukyu-kobudo,Ryukyu Kobudo,,kobudo,,,Taira Shinken's preservation society (organisation). B parented to generic okinawan-kobudo; reconciled to empty parent,proposed
Satojuku Karate,satojuku,Satojuku,kyokushin,kyokushin,Katsuaki Satō,1977,"Sato Katsuaki, ex-Kyokushin | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] http",proposed
Aji Ryukyu,scrape-artefact,Scrape artefact,,other,,,"Ryukyuan nobility title fragment, not a style",proposed
Anji Ryukyu,scrape-artefact,Scrape artefact,,other,,,Ryukyuan nobility title fragment,proposed
Appointe,scrape-artefact,Scrape artefact,,other,,,Truncated 'Appointed',proposed
Australasia official site,scrape-artefact,Scrape artefact,,other,,,,proposed
Bakuryu Sentai Abaranger,scrape-artefact,Scrape artefact,,other,,,TV series,proposed
Bank of the Ryukyus,scrape-artefact,Scrape artefact,,other,,,Institution,proposed
Basse-Terre,scrape-artefact,Scrape artefact,,other,,,Place name,proposed
Bill Ryusaki,scrape-artefact,Scrape artefact,,other,,,"Person (Hawaiian kenpo teacher), not a style",proposed
Chishu Ryu,scrape-artefact,Scrape artefact,,other,,,Person (Japanese actor),proposed
Cite,scrape-artefact,Scrape artefact,,other,,,Wiki markup fragment,proposed
Complete,scrape-artefact,Scrape artefact,,other,,,,proposed
Disposition of Ryukyu,scrape-artefact,Scrape artefact,,other,,,Historical event page,proposed
FileHuineng-tearing-sutrassvg,scrape-artefact,Scrape artefact,,other,,,File markup,proposed
FilePort-authority-terminaljpg,scrape-artefact,Scrape artefact,,other,,,File markup,proposed
Grand Maste,scrape-artefact,Scrape artefact,,other,,,Truncated 'Grand Master',proposed
Grandmaste,scrape-artefact,Scrape artefact,,other,,,Truncated 'Grandmaster',proposed
Hao Taikei Ryu Knight,scrape-artefact,Scrape artefact,,other,,,Anime title,proposed
Headmaste,scrape-artefact,Scrape artefact,,other,,,Truncated 'Headmaster',proposed
History of the Ryukyus,scrape-artefact,Scrape artefact,,other,,,,proposed
Inte,scrape-artefact,Scrape artefact,,other,,,Truncated 'International',proposed
Invasion of Ryukyu,scrape-artefact,Scrape artefact,,other,,,"Historical event page, not a style",proposed
Karyu Uku,scrape-artefact,Scrape artefact,,other,,,"Probably a person (Uku Karyu), not a style",proposed
King of Ryukyu,scrape-artefact,Scrape artefact,,other,,,,proposed
Kyokugenryu,scrape-artefact,Scrape artefact,,other,,,"Kyokugenryu Karate, fictional style from Art of Fighting video games",proposed
Kyoryu Boukenki Jura Tripper,scrape-artefact,Scrape artefact,,other,,,Anime title,proposed
Kyu-Iwasaki-tei Garden,scrape-artefact,Scrape artefact,,other,,,Place,proposed
Long Beach Press-Telegram,scrape-artefact,Scrape artefact,,other,,,Newspaper,proposed
Los Angeles Trade-Technical College,scrape-artefact,Scrape artefact,,other,,,Institution,proposed
Menkyo kai,scrape-artefact,Scrape artefact,,other,,,"Licence terminology (menkyo kaiden), not a style",proposed
