kind,node_id,name,detail
anachronistic_style,Q706389,Motobu Choyu,"style 'chito-ryu' (founded c.1946) postdates their lifespan 1857-1928; tag dropped (ancestry, not membership)"
anachronistic_style,Q6956791,Nabe Matsumura,"style 'isshin-ryu' (founded c.1956) postdates their lifespan 1860-1930; tag dropped (ancestry, not membership)"
anachronistic_style,C00244,Norisato Nakaima,"style 'ryuei-ryu' (founded c.1971) postdates their lifespan 1819-1879; tag dropped (ancestry, not membership)"
anachronistic_style,Q954330,Ryu Ryu Ko,"style 'ryuei-ryu' (founded c.1971) postdates their lifespan 1793-1882; tag dropped (ancestry, not membership)"
anachronistic_style,Q954330,Ryu Ryu Ko,"style 'goju-ryu' (founded c.1929) postdates their lifespan 1793-1882; tag dropped (ancestry, not membership)"
anachronistic_style,Q3276775,Sakujiro Yokoyama,"style 'shito-ryu' (founded c.1934) postdates their lifespan 1864-1912; tag dropped (ancestry, not membership)"
anachronistic_style,Q1908088,Shinko Matayoshi,"style 'matayoshi-kobudo' (founded c.1960) postdates their lifespan 1888-1947; tag dropped (ancestry, not membership)"
anachronistic_style,A0007,Shu Shiwa (Zhou Zihe),"style 'uechi-ryu' (founded c.1940) postdates their lifespan 1874-1926; tag dropped (ancestry, not membership)"
death_before_birth,Q5485463,Frank Brennan,"death 1949 < birth 1960, death nulled"
death_before_birth,Q5668035,Harry Cook,"death 1939 < birth 1949, death nulled"
self_loop_dropped,Q921673,Kanga Sakukawa,edge to self removed
year_out_of_range,Q7446703,Seiichi Iju,active_from=2036 nulled (outside 500-2026)
