kind,what,reason,override_file
drop_non_person,"Expo 67 (Q1344988, event)","1967 Montreal world's fair, not a person",node_verdicts.csv
drop_non_person,"Eyed Toguchi (C00056, other)",Broken fragment of the nickname 'One-Eyed Toguchi' (see C00404); artefact,node_verdicts.csv
drop_non_person,"Free Sparring (C00059, concept)","Training concept (jiyu kumite), not a person",node_verdicts.csv
drop_non_person,"Fujian (Q41705, place)","Fujian is the Chinese province (origin region of White Crane and other karate antecedents), not a person; Q41705 is the province and the birth year '0229' is nonsense. Leaked into the person table as a lineage antecedent.",node_verdicts.csv
drop_non_person,"Fukien Shaolin (C00060, place)","Fujian Shaolin temple/tradition (Chinese antecedent of Okinawan karate), not a person",node_verdicts.csv
drop_non_person,"Fukyu Ichi (C00061, kata)","Kata name (Fukyugata Ichi, Nagamine/Miyagi beginner kata), not a person",node_verdicts.csv
drop_non_person,"Fuzhou (Q68481, place)",Chinese city in Fujian (cradle of White Crane antecedents but a place); birth 2262 is nonsense,node_verdicts.csv
drop_non_person,"Gabi Haka (C00067, other)","[panel, medium confidence] No attestation in any karate/kobudo lineage source found by web search, and neither token is a plausible Japanese/Okinawan surname ('haka' = grave, 'gabi' matches no Okinawan name or nickname pattern). Reads as scrape garbage rather than a truncated real name.",node_verdicts.csv
drop_non_person,"Gekisai Ichi (C00070, kata)","Kata name (Gekisai Dai Ichi, Goju-Ryu), not a person",node_verdicts.csv
drop_non_person,"Ginowan City (C00082, place)","Okinawan city, not a person",node_verdicts.csv
drop_non_person,"Great Britain (Q23666, place)","Q23666 is the island of Great Britain; 'birth' 2012 and 'death' 1625 are nonsense. A place, not a martial artist.",node_verdicts.csv
drop_non_person,"Guan Xiu (Q3118758, out_of_scope)","Tang/Song-dynasty Zen figure, out of scope for the karate lineage. Removed per Ahmad, 2026-07-09.",node_verdicts.csv
drop_non_person,"Hakutsuru Kamae (C00090, technique)","White Crane posture/stance (kamae), a technique term, not a person",node_verdicts.csv
drop_non_person,"Heiwa Road (C00096, place)","Heiwa-dori street in Naha, a place, not a person",node_verdicts.csv
drop_non_person,"Henry Cook (Q11755899, wrong_entity)","[entity audit] Q11755899 is not a person at all: it is a Wikimedia disambiguation page for the name 'Henry Cook'. The dataset dates 1886-1939 match no documented karateka. The only notable karate figure with this name is Harry Cook (born Henry Wilson Cook, 1949), the British",node_verdicts.csv
drop_non_person,"Henry Liu (Q10899651, wrong_entity)","[entity audit] Wikidata Q10899651 with dates 1932-1984 is Henry Liu (Liu Yiliang / 'Jiang Nan'), the Taiwanese-American journalist assassinated in Daly City in 1984. He was a writer, not a martial artist. Web search finds no notable karateka named Henry Liu (only a child tou",node_verdicts.csv
drop_non_person,"Hideo Yamamoto (Q605735, wrong_entity)","Wikidata-verified as the manga artist Hideo Yamamoto (b. 1968, Ichi the Killer) wrongly matched; the karateka is Q15987804, which already carries the Masatoshi Nakayama edge.",node_verdicts.csv
drop_non_person,"Higashi Machi (C00109, place)","Higashimachi district of Naha, a place, not a person",node_verdicts.csv
drop_non_person,"Hija Bridge (C00110, place)","Hija bridge in Okinawa, a place, not a person",node_verdicts.csv
drop_non_person,"Hirara (Q714329, place)","Hirara is a former city on Miyako Island, Okinawa (merged into Miyakojima 2005); 'birth' 2006 is an administrative date, not a lifespan.",node_verdicts.csv
drop_non_person,"Hiroshi Shima (Q11476774, other)","[panel, high confidence] Wrong entity: Wikidata Q11476774 is Hiroshi Shima (Shima Hiroshi, 1918-2003), a Japanese novelist from Kagawa Prefecture; dates match the node exactly. No karateka of this identity exists; 'Te' tag is scrape noise. Remove.",node_verdicts.csv
drop_non_person,"His Sanchin (C00125, other)",Prose fragment referencing the Sanchin kata ('his Sanchin'); extraction artefact,node_verdicts.csv
drop_non_person,"Hoa Funsai (C00126, other)","[panel, low confidence] Zero web presence in karate lineage sources; 'funsai' is the ordinary Japanese noun for pulverisation and 'Hoa' is not a Japanese/Okinawan/Chinese surname romanisation. Does not match any known Chinese antecedent figure (Ason, Iwah, Waishinzan, Anan etc.); most likely a garbled fragment. Low confidence only because a badly romanised Chinese name cannot be fully excluded.",node_verdicts.csv
drop_non_person,"Honan Chuan (C00127, other)","Chinese boxing style (Henan quan), not a person",node_verdicts.csv
drop_non_person,"Horizontal White (C00128, other)",Prose fragment (likely describing a belt or crane technique); artefact,node_verdicts.csv
drop_non_person,"Huineng (Q345012, out_of_scope)","Tang/Song-dynasty Zen figure, out of scope for the karate lineage. Removed per Ahmad, 2026-07-09.",node_verdicts.csv
drop_non_person,"Hung Chia (C00132, other)","Chinese style (Hung Gar / Hongjia quan), not a person",node_verdicts.csv
drop_non_person,"Ichi Elementary (C00134, place)","School name fragment ('...Dai Ichi Elementary'), not a person",node_verdicts.csv
drop_non_person,"Inside Nakazato (C00138, other)",Prose fragment ('inside Nakazato['s dojo]'); artefact,node_verdicts.csv
drop_non_person,"Itoman High (C00144, place)","Itoman High School, not a person",node_verdicts.csv
drop_non_person,"Japan (Q17, place)",Country; Q17 is the Wikidata item for Japan,node_verdicts.csv
drop_non_person,"Jerry Bell (Q6183244, wrong_entity)","[entity audit] Q6183244 is a Wikimedia disambiguation page; the dataset birth 1959 belongs to Jerry Bell the American football tight end listed there. The intended person is 'Jerry Bell (karate)', an American singer-karateka whose English Wikipedia article was deleted and no",node_verdicts.csv
drop_non_person,"Jesus Martinez (Q1126552, other)","[panel, high confidence] Wikidata Q1126552 is a Wikimedia disambiguation page for the common name Jesus Martinez, not any individual; the 1934-2025 dates were spuriously attached. Pure scrape artefact with only the generic 'Te' tag. Remove.",node_verdicts.csv
drop_non_person,"Jinpu Kamae (C00149, technique)","Kamae = stance/posture; technique term, not a person",node_verdicts.csv
drop_non_person,"Jizen (C00157, other)","[panel, low confidence] Single token with no surname; not a recognisable karateka in any lineage source. 'Jizen' is an ordinary Japanese word (charity) and may be a garbled kata name (Jion) or prose fragment. No basis to reconstruct a person from it.",node_verdicts.csv
drop_non_person,"Jumonji Kamae (C00164, technique)","Cross-shaped stance (jumonji kamae), a technique, not a person",node_verdicts.csv
drop_non_person,"Kadena Air (C00169, place)","Fragment of 'Kadena Air Base', not a person",node_verdicts.csv
drop_non_person,"Kadena Teachers (C00170, organisation)","Fragment of a Kadena teachers' school/institution, not a person",node_verdicts.csv
drop_non_person,"Kanagawa Prefecture (Q127513, place)",Japanese prefecture; the 2024 'birth' year is spurious.,node_verdicts.csv
drop_non_person,"Kata guruma (Q128059, technique)",Judo shoulder-wheel throw; the 2022 'birth' year is spurious.,node_verdicts.csv
drop_non_person,"Kenkyu Sho (C00234, organisation)","Kenkyusho = research institute (Karate Kenkyusho), not a person",node_verdicts.csv
drop_non_person,"Kenpo Haku (C00235, media)","Kenpo Hakku, the eight precepts poem from the Bubishi, not a person",node_verdicts.csv
drop_non_person,"Kumamoto (Q199889, place)","Kumamoto is a Japanese city/prefecture; 'death' 1611 is a historical date (likely Kato Kiyomasa era), not a lifespan.",node_verdicts.csv
drop_non_person,"Kumejima (Q1206086, place)","Island/town in Okinawa Prefecture, not a person.",node_verdicts.csv
drop_non_person,"Kunyonto Order (C00308, concept)","Award: Kun Yonto = Order of the Sacred Treasure 4th class, not a person",node_verdicts.csv
drop_non_person,"Kuroshio Current (Q53842, other)","The Kuroshio is an ocean current in the western Pacific, a geographic/oceanographic feature; 1476-2007 are not human dates.",node_verdicts.csv
drop_non_person,"Kusanku Dai (C00309, kata)","Kata name (Kusanku Dai), not a person",node_verdicts.csv
drop_non_person,"Kusanku Sho (C00310, kata)","Kata name (Kusanku Sho), not a person",node_verdicts.csv
drop_non_person,"Lohan Chuan (C00313, other)","Chinese style (Luohan quan, Monk Fist boxing), not a person",node_verdicts.csv
drop_non_person,"Los Angeles (Q65, place)","Q65 is the city of Los Angeles (very low QID = major entity); style field contains a newspaper and a college, confirming a city page.",node_verdicts.csv
drop_non_person,"Machado family (Q2074666, other)","Wikidata P31 = family (Q8436): the Machado BJJ family as a group, not an individual; split into individual members if needed",node_verdicts.csv
drop_non_person,"Maekawa (Q21491914, other)","Enwiki 'Maekawa' is a surname/disambiguation page, and this QID range corresponds to a Wikidata family-name entity, not a specific person; the attached 1912-2010 dates indicate a bad merge with an unidentified individual.",node_verdicts.csv
drop_non_person,"Mamori Kama (C00321, other)","[panel, low confidence] Neither token is a surname: 'mamori' is the common noun 'protection/guard' and 'kama' is the sickle weapon (also an Okinawan given name, but a given name alone with a common noun is not a person entry). No attestation in any lineage source; reads as a weapons-text fragment. Low confidence because an Okinawan nickname reading is conceivable.",node_verdicts.csv
drop_non_person,"Marine Base (C00323, place)","US military base reference, not a person",node_verdicts.csv
drop_non_person,"Masanori Ishikawa (Q845437, wrong_entity)","[entity audit] Q845437 is Masanori Ishikawa the Japanese baseball pitcher (born 22 January 1980, Akita; Tokyo Yakult Swallows, 2000 Olympics), matching the dataset's 1980. Searches found no notable karateka named Masanori Ishikawa (only unrelated instructors surnamed Ishikaw",node_verdicts.csv
drop_non_person,"Matsumura Orthodox (C00360, other)","Style name (Matsumura Seito/Orthodox Shorin-ryu), not a person",node_verdicts.csv
drop_non_person,"Montreal (Q340, place)","Canadian city; very low QID typical of major entities, birth 1960 is nonsense",node_verdicts.csv
drop_non_person,"Muqi (Q3048317, out_of_scope)","Tang/Song-dynasty Zen figure, out of scope for the karate lineage. Removed per Ahmad, 2026-07-09.",node_verdicts.csv
drop_non_person,"Nago (Q117604, place)","City in northern Okinawa; the 'Aji Ryukyu' tag reflects Ryukyuan history context, not a person.",node_verdicts.csv
drop_non_person,"Nago High (C00377, place)","Nago High School, not a person",node_verdicts.csv
drop_non_person,"Naha (Q181966, place)","Naha is the capital city of Okinawa (cradle of Naha-te); style field includes a bank and a video game, confirming a city article.",node_verdicts.csv
drop_non_person,"Naha Area (C00378, place)","Geographic descriptor, not a person",node_verdicts.csv
drop_non_person,"Naha Courthouse (C00379, place)","Building in Naha, not a person",node_verdicts.csv
drop_non_person,"Naha Municipal (C00380, place)","Fragment of a Naha municipal institution name, not a person",node_verdicts.csv
drop_non_person,"Naihanchi Ichi (C00381, kata)","Kata name (Naihanchi 1), not a person",node_verdicts.csv
drop_non_person,"Naihanchi Nidan (C00382, kata)","Kata name, not a person",node_verdicts.csv
drop_non_person,"Naihanchi Sandan (C00383, kata)","Kata name, not a person",node_verdicts.csv
drop_non_person,"Naihanchi Shodan (C00384, kata)","Kata name, not a person",node_verdicts.csv
drop_non_person,"Nakahara (Q6960159, other)","Enwiki 'Nakahara' is a surname/place disambiguation page, not a specific person; no dates, no specific style.",node_verdicts.csv
drop_non_person,"Nansoye Shaolin (C00386, other)","Garbled reference to Southern Shaolin, a place/tradition, not a person",node_verdicts.csv
drop_non_person,"New York City (Q60, place)","Q60 is New York City; low-QID major entity, not a person.",node_verdicts.csv
drop_non_person,"New Zealand (Q664, place)",Q664 is the country New Zealand (very low QID = major entity); 'death' 5886 is garbage data.,node_verdicts.csv
drop_non_person,"Niagara Falls (Q128133, place)",Waterfall on the US-Canada border; birth year 4384 is nonsense,node_verdicts.csv
drop_non_person,"Nishihara (Q1206796, place)","Town in Okinawa Prefecture, not a person",node_verdicts.csv
drop_non_person,"Noel Smith (Q16797282, wrong_entity)","[entity audit] Q16797282 is a Wikimedia disambiguation page for 'Noel Smith', not a person; the dataset dates 1895-1955 correspond to no karateka (they fit the American film director Noel M. Smith, 1895-1955, listed on that disambiguation page). The only martial-arts Noel Sm",node_verdicts.csv
drop_non_person,"North America (Q49, place)",Q49 is the continent North America; style field contains 'Basse-Terre'. 'Death' 2004 is garbage.,node_verdicts.csv
drop_non_person,"Nowadays Higa (C00398, other)","Prose fragment ('Nowadays Higa...'); artefact, referent is a Higa",node_verdicts.csv
drop_non_person,"Number One (Q403803, other)","'Number One' is a disambiguation/concept page (likely scraped from a ranking or nickname phrase), not a person; no dates.",node_verdicts.csv
drop_non_person,"Okinawa (Q328615, place)","Okinawa City (formerly Koza), a municipality in Okinawa Prefecture; style field contains US military administration entities, confirming a city article.",node_verdicts.csv
drop_non_person,"Okinawa Kenpo (C00401, other)","Style name (Okinawa Kenpo, Nakamura Shigeru lineage), not a person",node_verdicts.csv
drop_non_person,"Okinawa Prefectural (C00402, organisation)","Fragment of a prefectural institution name, not a person",node_verdicts.csv
drop_non_person,"Okinawa Prefecture (Q766445, place)","Japanese prefecture, not a person",node_verdicts.csv
drop_non_person,"Okinawa Shorin (C00403, other)","Style fragment (Okinawa Shorin-ryu), not a person",node_verdicts.csv
drop_non_person,"Oni Bucho (C00405, other)","[panel, low confidence] No attestation anywhere in karate or kobudo lineage sources. 'Oni bucho' is a generic Japanese epithet (demon + section chief, a common workplace trope), not an Okinawan name pattern; nickname-only lineage figures exist (cf. C00404) but this one resolves to no known referent, so treated as a prose/scrape fragment.",node_verdicts.csv
drop_non_person,"Onna Village (C00406, place)","Okinawan village, not a person",node_verdicts.csv
drop_non_person,"Open Freesparring (C00407, concept)","Training/competition concept, not a person",node_verdicts.csv
drop_non_person,"Orthodox Shorin (C00408, other)","Style descriptor fragment (orthodox Shorin-ryu), not a person",node_verdicts.csv
drop_non_person,"Passai Dai (C00410, kata)","Kata name (Passai Dai), not a person",node_verdicts.csv
drop_non_person,"Passai Sho (C00411, kata)","Kata name (Passai Sho), not a person",node_verdicts.csv
drop_non_person,"Pechin (Q1317686, concept)","Social rank/class in the Ryukyu Kingdom, not an individual",node_verdicts.csv
drop_non_person,"Peoples Republic of China (Q148, place)","Country; low QID Q148 is China, years 2016/5886 are nonsense",node_verdicts.csv
drop_non_person,"Pinan (Q1465287, kata)","Pinan is the series of five kata developed by Anko Itosu, taught across Shorin-ryu, Shito-ryu, Shotokan (as Heian) and Wado-ryu; 'birth' 1870 is not a human date.",node_verdicts.csv
drop_non_person,"Pinan Godan (C00412, kata)","Kata name (Pinan Godan), not a person",node_verdicts.csv
drop_non_person,"Pinan Ichi (C00413, kata)","Kata name (Pinan 1), not a person",node_verdicts.csv
drop_non_person,"Pinan Nidan (C00414, kata)","Kata name (Pinan Nidan), not a person",node_verdicts.csv
drop_non_person,"Pinan San (C00415, kata)","Kata name (Pinan 3), not a person",node_verdicts.csv
drop_non_person,"Pinan Sandan (C00416, kata)","Kata name (Pinan Sandan), not a person",node_verdicts.csv
drop_non_person,"Pinan Yon (C00417, kata)","Kata name (Pinan 4), not a person",node_verdicts.csv
drop_non_person,"Pinan Yondan (C00418, kata)","Kata name (Pinan Yondan), not a person",node_verdicts.csv
drop_non_person,"Popularisation Society (C00419, organisation)","Fragment of a karate popularisation society name, not a person",node_verdicts.csv
drop_non_person,"Prefectural Agricultural (C00420, organisation)","Fragment of 'Prefectural Agricultural School' (where Miyagi/Kyan taught), not a person",node_verdicts.csv
drop_non_person,"Prefectural Dai (C00421, organisation)","Fragment of 'Prefectural Dai Ichi Middle School', not a person",node_verdicts.csv
drop_non_person,"Prefectural Education (C00422, organisation)","Fragment of a prefectural education body, not a person",node_verdicts.csv
drop_non_person,"Prefectural Office (C00423, organisation)","Government building/office, not a person",node_verdicts.csv
drop_non_person,"Prefectural Teachers (C00424, organisation)","Fragment of 'Prefectural Teachers College' (Shihan Gakko), not a person",node_verdicts.csv
drop_non_person,"Preservation Society (C00425, organisation)","Fragment of a preservation society name (e.g. Ryukyu Kobudo Hozon Shinkokai), not a person",node_verdicts.csv
drop_non_person,"Prunus mume (Q157763, other)","Prunus mume is the Japanese apricot/plum tree, a plant species; likely leaked via a kung fu 'plum blossom' reference.",node_verdicts.csv
drop_non_person,"Red Beard (Q847709, media)",Red Beard is the 1965 Kurosawa film; the 'Chishu Ryu' style tag is actually the actor Chishu Ryu's name mis-parsed as a ryu (style).,node_verdicts.csv
drop_non_person,"Research Club (C00428, organisation)","Fragment of 'Karate Research Club' (Kenkyukai), not a person",node_verdicts.csv
drop_non_person,"Ryu-te (Q7385615, concept)",Ryu-te is the style founded by Taika Seiyu Oyata; the 1928-2012 dates are Oyata's own lifespan attached to the style entity. The style QID has displaced the man; the person node should be Seiyu Oyata.,node_verdicts.csv
drop_non_person,"Ryukyu Shorin (C00439, other)","Style fragment (Ryukyu Shorin-ryu), not a person",node_verdicts.csv
drop_non_person,"Sacred Treasure (C00445, concept)","Award: Order of the Sacred Treasure, not a person",node_verdicts.csv
drop_non_person,"Sakai (Q193428, place)","Sakai is a city in Osaka Prefecture; no dates, generic style tags.",node_verdicts.csv
drop_non_person,"San Diego (Q16552, place)",San Diego is a US city; 1985-2007 are not human dates for any lineage figure.,node_verdicts.csv
drop_non_person,"Sao Paulo (Q174, place)","Q174 is the city of Sao Paulo, Brazil (very low QID = major entity).",node_verdicts.csv
drop_non_person,"Sazan Kozan (C00452, other)","[panel, medium confidence] Zero attestation as a person in any karate source; only web hits are unrelated Turkish/Albanian toponyms. Neither token works as an Okinawan/Japanese surname or given name; most consistent with garbled kata or place terms (Sesan, Kozan/Kusanku), as the panel suspected.",node_verdicts.csv
drop_non_person,"Schilling Recreation (C00453, place)","Fragment of a recreation centre name on a US base, not a person",node_verdicts.csv
drop_non_person,"Shaolin Mantis (Q3210517, media)","Shaolin Mantis is a 1978 Shaw Brothers kung fu film (wiki URL points to the 1978 film article); a media work, not a person.",node_verdicts.csv
drop_non_person,"Shingo Araki (Q2632773, wrong_entity)","[entity audit] Q2632773 is Shingo Araki (1 Jan 1939 - 1 Dec 2011), the Japanese anime character designer famous for Saint Seiya; the dataset dates match him exactly. He was never a martial artist. Searches find no karateka named Shingo Araki (the only martial-arts 'Araki' hi",node_verdicts.csv
drop_non_person,"Shingo Hayashi (Q105016253, other)","[panel, high confidence] Wrong entity: Wikidata Q105016253 is Shingo Hayashi the Japanese Olympic dressage equestrian (b. 25 Jan 1985, Sapporo), matching the node's 1985 birth year. Not a martial artist; the lone generic 'Te' tag is scrape noise. Remove.",node_verdicts.csv
drop_non_person,"Shingo Hayashi (Q48762989, other)","[panel, high confidence] Same wrong entity as Q105016253: resolves to Shingo Hayashi the Japanese dressage equestrian, b. 25 Jan 1985, Sapporo (2020 Olympics). Not a martial artist; duplicate scrape artefact. Remove.",node_verdicts.csv
drop_non_person,"Shinto Shizen (C00516, concept)","[panel, high confidence] Garbled style name, not a person: Shindo Jinen-ryu (the characters for 'jinen' are also read 'shizen'), the karate style founded by Yasuhiro Konishi. A style-name fragment that leaked into the person list.",node_verdicts.csv
drop_non_person,"Sho Chu (Q1060301, out_of_scope)","[island research] First Sho dynasty king of Ryukyu, not a martial artist; both verifiers concur the pair is out of scope.",node_verdicts.csv
drop_non_person,"Sho Hashi (Q1372130, out_of_scope)","[island research] First Sho dynasty king of Ryukyu, not a martial artist; both verifiers concur the pair is out of scope.",node_verdicts.csv
drop_non_person,"Shorin Kan (C00526, organisation)","Shorinkan, a dojo/association (Nakazato lineage), not a person",node_verdicts.csv
drop_non_person,"Shuri (Q608415, place)","Former Okinawan royal capital (now district of Naha), origin of Shuri-te but a place; birth 1989 is nonsense",node_verdicts.csv
drop_non_person,"Shuri Castle (Q907052, place)","Ryukyuan royal castle in Naha; 1958 is a reconstruction date, not a birth year.",node_verdicts.csv
drop_non_person,"Shuri Dai (C00543, place)","Fragment of a Shuri school name (e.g. Shuri Dai Ichi), not a person",node_verdicts.csv
drop_non_person,"Shuri High (C00544, place)","Shuri High School, not a person",node_verdicts.csv
drop_non_person,"Shuri Jinjo (C00545, place)","Shuri Jinjo (elementary) school, not a person",node_verdicts.csv
drop_non_person,"Siamese Highlands (C00548, place)","Geographic region (Siam/Thailand highlands), not a person",node_verdicts.csv
drop_non_person,"Song Moo Kwan (Q7561025, organisation)","One of the original Korean taekwondo kwans (school founded 1944); the row dates 1919-2015 are those of its founder Ro Byung-jik, confirming the QID is the school, not the man.",node_verdicts.csv
drop_non_person,"Southeast (Q2304626, other)","'Southeast' is a compass-direction disambiguation page; 1920-1924 are stray dates, not a lifespan.",node_verdicts.csv
drop_non_person,"Steve Armstrong (Q6119718, wrong_entity)","[entity audit] Q6119718 is Steve Armstrong the American professional wrestler (born 16 March 1965, son of Bob Armstrong), matching the dataset's 1965 birth; the death 1987 matches nothing and is itself an artefact. The intended karate figure is Steve Armstrong (born 22 Septe",node_verdicts.csv
drop_non_person,"Steve Waters (Q7614246, wrong_entity)","[entity audit] Q7614246 is Steve Waters the British playwright, screenwriter and university teacher, born 1965 in Coventry, which matches the dataset's 1965. He has no martial-arts connection, and searches found no documented karateka named Steve Waters anywhere (Wikipedia's",node_verdicts.csv
drop_non_person,"Ten Senshi (C00357, other)","[panel, low confidence] 'Ten senshi' reads as a prose fragment ('ten warriors/senshi'), not a personal name: no Japanese/Okinawan/Chinese surname present and no attestation in lineage sources. Appears twice in the dataset (C00585), consistent with a repeated scrape artefact rather than a person.",node_verdicts.csv
drop_non_person,"Ten Senshi (C00585, other)","[panel, medium confidence] Duplicate of C00357. 'Ten senshi' parses as Japanese prose ('ten warriors/masters'), not as a surname-plus-given-name in any relevant naming system, and no lineage source attests such a person. Treated as a scraped prose fragment.",node_verdicts.csv
drop_non_person,"The American (Q363025, media)",Wikidata disambiguation page for creative works titled 'The American'; not a person.,node_verdicts.csv
drop_non_person,"The Chibana (C00591, other)",Prose fragment ('the Chibana [lineage/dojo]'); extraction artefact,node_verdicts.csv
drop_non_person,"The Eighteen (C00592, other)",Prose fragment (likely 'the eighteen hands'/Seipai reference); artefact,node_verdicts.csv
drop_non_person,"The Greater (C00593, other)",Prose fragment; extraction artefact,node_verdicts.csv
drop_non_person,"The Kodokan (C00594, organisation)","The Kodokan (judo institution), not a person",node_verdicts.csv
drop_non_person,"The Kushin (C00595, other)",Fragment (likely Kushin-ryu style); not a person,node_verdicts.csv
drop_non_person,"The Matsumura (C00596, other)","Prose fragment ('the Matsumura [lineage]'); artefact, not a distinct person",node_verdicts.csv
drop_non_person,"The Okinawa Times (Q4539628, organisation)","The Okinawa Times is a newspaper, likely scraped because it reported on karate figures.",node_verdicts.csv
drop_non_person,"The Oyadomaris (C00597, other)","Plural family reference ('the Oyadomaris'); prose fragment, not a single person",node_verdicts.csv
drop_non_person,"The Ryukyuan (C00598, other)",Prose fragment; extraction artefact,node_verdicts.csv
drop_non_person,"The Shorin (C00600, other)",Prose fragment ('the Shorin [ryu]'); artefact,node_verdicts.csv
drop_non_person,"The Three (Q124378342, other)",Wikimedia disambiguation page; not a person.,node_verdicts.csv
drop_non_person,"Tode Research (C00602, organisation)","Fragment of 'Tode Kenkyukai' (Tode Research Club), not a person",node_verdicts.csv
drop_non_person,"Tokyo (Q1490, place)","Q1490 is the city of Tokyo; 1868/1943 are the renaming and Tokyo City abolition dates, not lifespan. Low-QID major entity.",node_verdicts.csv
drop_non_person,"Totori Budokan (C00621, place)","Tottori Budokan, a martial arts hall, not a person",node_verdicts.csv
drop_non_person,"Totori City (C00622, place)","Tottori City, Japan; a place, not a person",node_verdicts.csv
drop_non_person,"United States (Q30, place)",Q30 is the country United States; years 2009/8418 are nonsensical for a person. Classic low-QID major entity leak.,node_verdicts.csv
drop_non_person,"Wamp 2 Dem (Q42530280, media)","Mixtape by British rapper Giggs; the 2016 'birth' year is a release-era date, not a person.",node_verdicts.csv
drop_non_person,"Washington State (Q7972225, place)","US state / place-name disambiguation entity, not a person.",node_verdicts.csv
drop_non_person,"West Germany (Q713750, place)",Former country (Federal Republic of Germany); years 1912-1959 are nonsense scrape artefacts,node_verdicts.csv
drop_non_person,"Western culture (Q478958, concept)",Cultural concept; years 0743-1900 are nonsense,node_verdicts.csv
drop_non_person,"Whereas Chokki (C00642, other)","Prose fragment ('Whereas Chokki [Motobu]...'); artefact, referent is Motobu Choki",node_verdicts.csv
drop_non_person,"Whilst Asato (C00643, other)","Prose fragment ('Whilst Asato [Anko]...'); artefact, referent is Asato Anko",node_verdicts.csv
drop_non_person,"White tiger (Q348957, other)","Animal/disambiguation entry for 'white tiger'; likely leaked via a style name or fighter nickname, not a person.",node_verdicts.csv
drop_non_person,"Yamanashi Prefecture (Q132720, place)",Japanese prefecture; birth 2023 is nonsense,node_verdicts.csv
drop_non_person,"Yasunori Matsumoto (Q1192158, wrong_entity)","[entity audit] Q1192158 (b. 7 Feb 1960, matching the dataset) is Yasunori Matsumoto the Japanese voice actor (Chuo University, career from 1987). His Wikipedia article mentions no martial arts (only university cycle racing). The 'kudo' style tag is a scrape artefact (the ent",node_verdicts.csv
drop_non_person,"Yokohama (Q38283, place)",Japanese city; birth 2024 is nonsense,node_verdicts.csv
drop_non_person,"Zen (Q7953, concept)","School of Mahayana Buddhism; very low QID major topic, not a person.",node_verdicts.csv
drop_non_person,"Zenyei OshiroAkio Kinjo (C00673, artefact)",Two names concatenated (Zenyei Oshiro + Akio Kinjo). Dropped; re-add as two separate rows in nodes.csv if wanted.,node_verdicts.csv
drop_non_person,"alcohol (Q47146337, other)","Chemical substance/beverage class, not a person",node_verdicts.csv
drop_non_person,"bo (Q11064618, weapon)","Okinawan staff weapon (bo), Wikidata P31 confirms staff weapon; birth 2015 is nonsense",node_verdicts.csv
drop_non_person,"brothel (Q131295, concept)","Type of establishment, not a person; birth 2020 is nonsense",node_verdicts.csv
drop_non_person,"catch wrestling (Q2408025, concept)",Grappling style as an entity; the 2011 'birth' year is spurious.,node_verdicts.csv
drop_non_person,"dan (Q373498, concept)","Rank/grade concept in martial arts, not a person",node_verdicts.csv
