node_id,qid,page_title,name_unicode,name_ascii,given_name_unicode,surname_unicode,given_name_ascii,surname_ascii,actual_name_unicode,actual_name_ascii,birth_year,death_year,instructor_start_year,date,okinawa_locality,styles_all,needs_review,wikipedia_url,style_1,style_2,style_3,style_4,style_5,style_6,style_7,style_8,style_9,style_10
Q64574038,Q64574038,Ryo Kiyuna,Ryō Kiyuna,Ryo Kiyuna,Ryō,Kiyuna,Ryo,Kiyuna,Ryō Kiyuna,Ryo Kiyuna,1990.0,,2015.0,2015.0,unknown,Japanese Karate|Karate|Te,0,https://en.wikipedia.org/wiki/Ryo_Kiyuna,Japanese Karate,Karate,Te,,,,,,,
Q6810356,Q6810356,Meitatsu Yagi,Meitatsu Yagi,Meitatsu Yagi,Meitatsu,Yagi,Meitatsu,Yagi,Meitatsu Yagi,Meitatsu Yagi,1944.0,,1969.0,1969.0,Naha,Goju-Ryu|Shorin-Ryu|Uechi-Ryu|Okinawan Kobudo|Goju-Kai|Karate|Karatedo Kobudo|Meibukan|Okinawan Karate|Te,0,https://en.wikipedia.org/wiki/Meitatsu_Yagi,Goju-Ryu,Shorin-Ryu,Uechi-Ryu,Okinawan Kobudo,Goju-Kai,Karate,Karatedo Kobudo,Meibukan,Okinawan Karate,Te
Q15845016,Q15845016,Koji Chubachi,Koji Chubachi,Koji Chubachi,Koji,Chubachi,Koji,Chubachi,Koji Chubachi,Koji Chubachi,1987.0,,2012.0,2012.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Koji_Chubachi,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q16875962,Q16875962,Shinobu Ichiyanagi,Shinobu Ichiyanagi,Shinobu Ichiyanagi,Shinobu,Ichiyanagi,Shinobu,Ichiyanagi,Shinobu Ichiyanagi,Shinobu Ichiyanagi,1952.0,,1977.0,1977.0,unknown,Shotokan|Japanese Karate|Karate|Kempo|Te,0,https://en.wikipedia.org/wiki/Shinobu_Ichiyanagi,Shotokan,Japanese Karate,Karate,Kempo,Te,,,,,
Q15845021,Q15845021,Kazuaki Kurihara,Kazuaki Kurihara,Kazuaki Kurihara,Kazuaki,Kurihara,Kazuaki,Kurihara,Kazuaki Kurihara,Kazuaki Kurihara,1979.0,,2004.0,2004.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Kazuaki_Kurihara,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q4353136,Q4353136,Tatsuya Naka,Tatsuya Naka,Tatsuya Naka,Tatsuya,Naka,Tatsuya,Naka,Tatsuya Naka,Tatsuya Naka,1964.0,,1989.0,1989.0,unknown,Shotokan|Karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Tatsuya_Naka,Shotokan,Karate,Japanese Karate,Te,,,,,,
Q15845024,Q15845024,Keisuke Nemoto,Keisuke Nemoto,Keisuke Nemoto,Keisuke,Nemoto,Keisuke,Nemoto,Keisuke Nemoto,Keisuke Nemoto,1979.0,,2004.0,2004.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Keisuke_Nemoto,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q476441,Q476441,Seiji Nishimura,Seiji Nishimura,Seiji Nishimura,Seiji,Nishimura,Seiji,Nishimura,Seiji Nishimura,Seiji Nishimura,1956.0,,1981.0,1981.0,unknown,Wado-Ryu|Karate|Goju-Ryu|Shito-Ryu|Japanese Karate|Kushin-Ryu|shitoryu|Te|Wado-Kai|Wadokai,0,https://en.wikipedia.org/wiki/Seiji_Nishimura,Wado-Ryu,Karate,Goju-Ryu,Shito-Ryu,Japanese Karate,Kushin-Ryu,shitoryu,Te,Wado-Kai,Wadokai
Q11463345,Q11463345,Kazuhiko Ogasawara,Kazuhiko Ogasawara,Kazuhiko Ogasawara,Kazuhiko,Ogasawara,Kazuhiko,Ogasawara,Kazuhiko Ogasawara,Kazuhiko Ogasawara,1959.0,,1984.0,1984.0,unknown,Kyokushin|Japanese Karate|Karate|Kyokushin-kai|Te,0,https://en.wikipedia.org/wiki/Kazuhiko_Ogasawara,Kyokushin,Japanese Karate,Karate,Kyokushin-kai,Te,,,,,
Q15845028,Q15845028,Koji Ogata,Koji Ogata,Koji Ogata,Koji,Ogata,Koji,Ogata,Koji Ogata,Koji Ogata,1968.0,,1993.0,1993.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Koji_Ogata,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q15845023,Q15845023,Satomi Okuie,Satomi Okuie,Satomi Okuie,Satomi,Okuie,Satomi,Okuie,Satomi Okuie,Satomi Okuie,1982.0,,2007.0,2007.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Satomi_Okuie,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q11383484,Q11383484,Masaaki Satake,Masaaki Satake,Masaaki Satake,Masaaki,Satake,Masaaki,Satake,Masaaki Satake,Masaaki Satake,1965.0,,1990.0,1990.0,unknown,Kyokushin|Karate|Bakuryu Sentai Abaranger|Japanese Karate|Kyokushin karate|Seidokaikan|Te,0,https://en.wikipedia.org/wiki/Masaaki_Satake,Kyokushin,Karate,Bakuryu Sentai Abaranger,Japanese Karate,Kyokushin karate,Seidokaikan,Te,,,
Q15845014,Q15845014,Mai Shiina,Mai Shiina,Mai Shiina,Mai,Shiina,Mai,Shiina,Mai Shiina,Mai Shiina,1988.0,,2013.0,2013.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Mai_Shiina,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q15845020,Q15845020,Ryosuke Shimizu,Ryosuke Shimizu,Ryosuke Shimizu,Ryosuke,Shimizu,Ryosuke,Shimizu,Ryosuke Shimizu,Ryosuke Shimizu,1980.0,,2005.0,2005.0,unknown,Shotokan|Karate|Dan karate|Japanese Karate|Te,0,https://en.wikipedia.org/wiki/Ryosuke_Shimizu,Shotokan,Karate,Dan karate,Japanese Karate,Te,,,,,
Q11449100,Q11449100,Rika Usami,Rika Usami,Rika Usami,Rika,Usami,Rika,Usami,Rika Usami,Rika Usami,1986.0,,2011.0,2011.0,unknown,Shito-Ryu|Goju-Ryu|Japanese Karate|Karate|Te,0,https://en.wikipedia.org/wiki/Rika_Usami,Shito-Ryu,Goju-Ryu,Japanese Karate,Karate,Te,,,,,
Q16089695,Q16089695,Saito Satoshi,Saitō Satoshi,Saito Satoshi,Saitō,Satoshi,Saito,Satoshi,Saitō Satoshi,Saito Satoshi,1922.0,2014.0,1947.0,1947.0,Shuri,Headmaste|Hokushin Itto-ryu|illustrious kobudo|Japan Kobudo|Japanese kobudo|Karate|Kuwana Han-den Yamamoto-ryu|Negishi-ryu|Nihon Kobudo|Shirai-ryu|Te|Tenshin Shoden Katori Shinto-ryu,0,https://en.wikipedia.org/wiki/Sait%C5%8D_Satoshi,Headmaste,Hokushin Itto-ryu,illustrious kobudo,Japan Kobudo,Japanese kobudo,Karate,Kuwana Han-den Yamamoto-ryu,Negishi-ryu,Nihon Kobudo,Shirai-ryu
Q6419132,Q6419132,Kiyoshi Yoshimoti,Kiyoshi Yoshimoti,Kiyoshi Yoshimoti,Kiyoshi,Yoshimoti,Kiyoshi,Yoshimoti,Kiyoshi Yoshimoti,Kiyoshi Yoshimoti,1948.0,2020.0,1973.0,1973.0,unknown,Gosho-ha Hyoho Niten Ichi-ryu|Japanese kobudo|Niten Ichi-ryu|Sekiguchi-ryu|Te,0,https://en.wikipedia.org/wiki/Kiyoshi_Yoshimoti,Gosho-ha Hyoho Niten Ichi-ryu,Japanese kobudo,Niten Ichi-ryu,Sekiguchi-ryu,Te,,,,,
Q7327071,Q7327071,Richard Kim,Richard Kim,Richard Kim,Richard,Kim,Richard,Kim,Richard Kim,Richard Kim,1932.0,2009.0,1957.0,1957.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/Richard_Kim,Karate,Te,,,,,,,,
Q2576986,Q2576986,Donn F Draeger,Donn F. Draeger,Donn F Draeger,Donn,F. Draeger,Donn,F Draeger,Donn F. Draeger,Donn F Draeger,1922.0,1982.0,1947.0,1947.0,unknown,Tenshin Shoden Katori Shinto-ryu|Kyokushin Budokai|Shodokan Aikido|Kyokushin|Chinese Martial Arts|International Kyokushin Budokai|Karate|Nihon Kobudo|Shindo Muso-ryu|Shodokan|Te|Yoshin-ryu,0,https://en.wikipedia.org/wiki/Donn_F._Draeger,Tenshin Shoden Katori Shinto-ryu,Kyokushin Budokai,Shodokan Aikido,Kyokushin,Chinese Martial Arts,International Kyokushin Budokai,Karate,Nihon Kobudo,Shindo Muso-ryu,Shodokan
Q7364578,Q7364578,Ron van Clief,Ron van Clief,Ron van Clief,Ron,van Clief,Ron,van Clief,Ron van Clief,Ron van Clief,1943.0,,1968.0,1968.0,unknown,Kung Fu|Karate|Goju-Ryu|Shotokan|Appointe|Cite|Te,0,https://en.wikipedia.org/wiki/Ron_van_Clief,Kung Fu,Karate,Goju-Ryu,Shotokan,Appointe,Cite,Te,,,
Q19325706,Q19325706,Vernon Bell,Vernon Bell,Vernon Bell,Vernon,Bell,Vernon,Bell,Vernon Bell,Vernon Bell,1922.0,2004.0,1947.0,1947.0,unknown,Karate|Yoseikan Karate|Te,0,https://en.wikipedia.org/wiki/Vernon_Bell,Karate,Yoseikan Karate,Te,,,,,,,
Q48441622,Q48441622,Harold Long,Harold Long,Harold Long,Harold,Long,Harold,Long,Harold Long,Harold Long,1930.0,1998.0,1955.0,1955.0,unknown,Te,0,https://en.wikipedia.org/wiki/Harold_Long,Te,,,,,,,,,
C00118,,Sakuhei Yoshida,Sakuhei Yoshida,Sakuhei Yoshida,Sakuhei,Yoshida,Sakuhei,Yoshida,Sakuhei Yoshida,Sakuhei Yoshida,,,,,unknown,,1,,Karate,,,,,,,,,
C00119,,Toju Kosho,Toju Kosho,Toju Kosho,Toju,Kosho,Toju,Kosho,Toju Kosho,Toju Kosho,,,,,unknown,,1,,Karate,,,,,,,,,
Q1052982,Q1052982,Jeff Speakman,Jeff Speakman,Jeff Speakman,Jeff,Speakman,Jeff,Speakman,Jeff Speakman,Jeff Speakman,1958.0,,1983.0,1983.0,unknown,American Kenpo|Goju-Ryu|Karate|American Kenpo Karate|Goju-Kai|Kempo|Kenpo|Kung Fu|Te,0,https://en.wikipedia.org/wiki/Jeff_Speakman,American Kenpo,Goju-Ryu,Karate,American Kenpo Karate,Goju-Kai,Kempo,Kenpo,Kung Fu,Te,
Q6139856,Q6139856,James Mitose,James Mitose,James Mitose,James,Mitose,James,Mitose,James Mitose,James Mitose,1916.0,1981.0,1941.0,1941.0,Shuri,Kosho Shorei-Ryu Kenpo|Kempo|Shuri-te|Ch'uan Fa|Chuan Fa|Grand Maste|Grandmaste|Karate|Kenpo|Kosho Shorei-ryu|Motobu-Ryu|Te,0,https://en.wikipedia.org/wiki/James_Mitose,Kosho Shorei-Ryu Kenpo,Kempo,Shuri-te,Ch'uan Fa,Chuan Fa,Grand Maste,Grandmaste,Karate,Kenpo,Kosho Shorei-ryu
Q653633,Q653633,Ed Parker,Ed Parker,Ed Parker,Ed,Parker,Ed,Parker,Ed Parker,Ed Parker,1931.0,1990.0,1956.0,1956.0,unknown,American Kenpo|Grand Maste|Grandmaste|Karate|Kenpo|Kung Fu|Te,0,https://en.wikipedia.org/wiki/Ed_Parker,American Kenpo,Grand Maste,Grandmaste,Karate,Kenpo,Kung Fu,Te,,,
Q3857461,Q3857461,Mike Stone,Mike Stone,Mike Stone,Mike,Stone,Mike,Stone,Mike Stone,Mike Stone,1951.0,2002.0,1976.0,1976.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/Mike_Stone,Karate,Te,,,,,,,,
Q1493062,Q1493062,Willie Williams,Willie Williams,Willie Williams,Willie,Williams,Willie,Williams,Willie Williams,Willie Williams,1925.0,2011.0,1950.0,1950.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/Willie_Williams,Karate,Te,,,,,,,,
Q18230165,Q18230165,George Mattson,George Mattson,George Mattson,George,Mattson,George,Mattson,George Mattson,George Mattson,1908.0,1997.0,1933.0,1933.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/George_Mattson,Karate,Te,,,,,,,,
Q912181,Q912181,Nicholas Pettas,Nicholas Pettas,Nicholas Pettas,Nicholas,Pettas,Nicholas,Pettas,Nicholas Pettas,Nicholas Pettas,1973.0,,1998.0,1998.0,unknown,Kyokushin kaikan|Karate|Kyokushin|Kyokushin-kai|Te,0,https://en.wikipedia.org/wiki/Nicholas_Pettas,Kyokushin kaikan,Karate,Kyokushin,Kyokushin-kai,Te,,,,,
Q6227103,Q6227103,John Corcoran,John Corcoran,John Corcoran,John,Corcoran,John,Corcoran,John Corcoran,John Corcoran,1842.0,1919.0,1867.0,1867.0,unknown,Te,0,https://en.wikipedia.org/wiki/John_Corcoran,Te,,,,,,,,,
Q459861,Q459861,Rina Takeda,Rina Takeda,Rina Takeda,Rina,Takeda,Rina,Takeda,Rina Takeda,Rina Takeda,1991.0,,2016.0,2016.0,unknown,Shorin-Ryu|Karate|Te,0,https://en.wikipedia.org/wiki/Rina_Takeda,Shorin-Ryu,Karate,Te,,,,,,,
Q5121886,Q5121886,Ciriaco Canete,Ciriaco Cañete,Ciriaco Canete,Ciriaco,Cañete,Ciriaco,Canete,Ciriaco Cañete,Ciriaco Canete,1919.0,2016.0,1944.0,1944.0,unknown,Shorin-Ryu|Karate|Te,0,https://en.wikipedia.org/wiki/Ciriaco_Ca%C3%B1ete,Shorin-Ryu,Karate,Te,,,,,,,
Q935081,Q935081,Robert John Burke,Robert John Burke,Robert John Burke,Robert,John Burke,Robert,John Burke,Robert John Burke,Robert John Burke,1960.0,2013.0,1985.0,1985.0,unknown,Shorin-Ryu|Karate|Te,0,https://en.wikipedia.org/wiki/Robert_John_Burke,Shorin-Ryu,Karate,Te,,,,,,,
Q2869852,Q2869852,Atsuko Wakai,Atsuko Wakai,Atsuko Wakai,Atsuko,Wakai,Atsuko,Wakai,Atsuko Wakai,Atsuko Wakai,1971.0,,1996.0,1996.0,unknown,Goju-Ryu|Shito-Ryu|Goju-Kai|Gojukai|gojukai|gojuryu|Japanese Karate|Karate|shitoryu|Shukokai|Te,0,https://en.wikipedia.org/wiki/Atsuko_Wakai,Goju-Ryu,Shito-Ryu,Goju-Kai,Gojukai,gojukai,gojuryu,Japanese Karate,Karate,shitoryu,Shukokai
Q5752928,Q5752928,Hidy Ochiai,Hidy Ochiai,Hidy Ochiai,Hidy,Ochiai,Hidy,Ochiai,Hidy Ochiai,Hidy Ochiai,1939.0,,1964.0,1964.0,unknown,Karate|Kung Fu|Te|Washin-Ryu karate,0,https://en.wikipedia.org/wiki/Hidy_Ochiai,Karate,Kung Fu,Te,Washin-Ryu karate,,,,,,
Q8049998,Q8049998,Yasuhisa Shioda,Yasuhisa Shioda,Yasuhisa Shioda,Yasuhisa,Shioda,Yasuhisa,Shioda,Yasuhisa Shioda,Yasuhisa Shioda,1952.0,,1977.0,1977.0,unknown,Te,0,https://en.wikipedia.org/wiki/Yasuhisa_Shioda,Te,,,,,,,,,
Q4467319,Q4467319,Terada Kiyoyuki,Terada Kiyoyuki,Terada Kiyoyuki,Terada,Kiyoyuki,Terada,Kiyoyuki,Terada Kiyoyuki,Terada Kiyoyuki,1922.0,2009.0,1947.0,1947.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/Kiyoyuki_Terada,Karate,Te,,,,,,,,
Q6426232,Q6426232,Koichi Pettas,Koichi Pettas,Koichi Pettas,Koichi,Pettas,Koichi,Pettas,Koichi Pettas,Koichi Pettas,1980.0,2018.0,2005.0,2005.0,unknown,Te,0,https://en.wikipedia.org/wiki/Koichi_(kickboxer),Te,,,,,,,,,
Q3272171,Q3272171,Yukari Oshima,Yukari Oshima,Yukari Oshima,Yukari,Oshima,Yukari,Oshima,Yukari Oshima,Yukari Oshima,1963.0,1995.0,1988.0,1988.0,unknown,Goju-Ryu|Karate|Kung Fu|Te,0,https://en.wikipedia.org/wiki/Yukari_Oshima,Goju-Ryu,Karate,Kung Fu,Te,,,,,,
Q15987727,Q15987727,Moses Powell,Moses Powell,Moses Powell,Moses,Powell,Moses,Powell,Moses Powell,Moses Powell,1941.0,2005.0,1966.0,1966.0,unknown,Isshin-Ryu|Shorin-Ryu|Isshinryu|Karate|Kung Fu|Te,0,https://en.wikipedia.org/wiki/Moses_Powell,Isshin-Ryu,Shorin-Ryu,Isshinryu,Karate,Kung Fu,Te,,,,
Q221797,Q221797,Bobby Lowe,Bobby Lowe,Bobby Lowe,Bobby,Lowe,Bobby,Lowe,Bobby Lowe,Bobby Lowe,1929.0,2011.0,1954.0,1954.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/Bobby_Lowe,Karate,Te,,,,,,,,
Q706955,Q706955,Tadashi Nakamura,Tadashi Nakamura,Tadashi Nakamura,Tadashi,Nakamura,Tadashi,Nakamura,Tadashi Nakamura,Tadashi Nakamura,1942.0,2019.0,1967.0,1967.0,unknown,Te,0,https://en.wikipedia.org/wiki/Tadashi_Nakamura,Te,,,,,,,,,
Q780966,Q780966,Seiji Isobe,Seiji Isobe,Seiji Isobe,Seiji,Isobe,Seiji,Isobe,Seiji Isobe,Seiji Isobe,1948.0,,1973.0,1973.0,unknown,Kyokushin|Shotokan|Japanese Karate|Karate|Kyokushin Karate|Kyokushin-kai|kyokushinkai|kyokushinkaikan|Te,0,https://en.wikipedia.org/wiki/Seiji_Isobe,Kyokushin,Shotokan,Japanese Karate,Karate,Kyokushin Karate,Kyokushin-kai,kyokushinkai,kyokushinkaikan,Te,
Q6381580,Q6381580,Kazumi Tabata,Kazumi Tabata,Kazumi Tabata,Kazumi,Tabata,Kazumi,Tabata,Kazumi Tabata,Kazumi Tabata,1943.0,,1968.0,1968.0,unknown,Shotokan|Japanese Karate|Karate|Shorinji-Ryu|Shorinji-ryu Renshinkan|Te,0,https://en.wikipedia.org/wiki/Kazumi_Tabata,Shotokan,Japanese Karate,Karate,Shorinji-Ryu,Shorinji-ryu Renshinkan,Te,,,,
Q5335255,Q5335255,Ed Parker Jr,Ed Parker Jr.,Ed Parker Jr,Ed,Parker Jr.,Ed,Parker Jr,Ed Parker Jr.,Ed Parker Jr,1959.0,,1984.0,1984.0,unknown,American Kenpo|American Kenpo Karate|Karate|Kenpo|Te,0,https://en.wikipedia.org/wiki/Ed_Parker_Jr.,American Kenpo,American Kenpo Karate,Karate,Kenpo,Te,,,,,
Q21482428,Q21482428,Jacques Payet,Jacques Payet,Jacques Payet,Jacques,Payet,Jacques,Payet,Jacques Payet,Jacques Payet,1957.0,,1982.0,1982.0,unknown,Yoshinkan|Karate|Te,0,https://en.wikipedia.org/wiki/Jacques_Payet,Yoshinkan,Karate,Te,,,,,,,
Q7850204,Q7850204,Tsuneo Ando,Tsuneo Ando,Tsuneo Ando,Tsuneo,Ando,Tsuneo,Ando,Tsuneo Ando,Tsuneo Ando,1956.0,1997.0,1981.0,1981.0,unknown,Te,0,https://en.wikipedia.org/wiki/Tsuneo_Ando,Te,,,,,,,,,
Q64929894,Q64929894,Leona Pettas,Leona Pettas,Leona Pettas,Leona,Pettas,Leona,Pettas,Leona Pettas,Leona Pettas,1992.0,2017.0,2017.0,2017.0,unknown,Kyokushin|Karate|Kyokushin Karate|Te,0,https://en.wikipedia.org/wiki/Leona_Pettas,Kyokushin,Karate,Kyokushin Karate,Te,,,,,,
Q6167244,Q6167244,Jay T Will,Jay T. Will,Jay T Will,Jay,T. Will,Jay,T Will,Jay T. Will,Jay T Will,1942.0,1995.0,1967.0,1967.0,unknown,Kenpo Karate|Karate|Kenpo|Te,0,https://en.wikipedia.org/wiki/Jay_T._Will,Kenpo Karate,Karate,Kenpo,Te,,,,,,
Q7790297,Q7790297,Thomas H Makiyama,Thomas H. Makiyama,Thomas H Makiyama,Thomas,H. Makiyama,Thomas,H Makiyama,Thomas H. Makiyama,Thomas H Makiyama,1928.0,2005.0,1953.0,1953.0,unknown,Keijutsukai Aikido|Goju-Ryu|Karate|Keijutsukai|Te,0,https://en.wikipedia.org/wiki/Thomas_H._Makiyama,Keijutsukai Aikido,Goju-Ryu,Karate,Keijutsukai,Te,,,,,
Q6519507,Q6519507,Shunji Watanabe,Shunji Watanabe,Shunji Watanabe,Shunji,Watanabe,Shunji,Watanabe,Shunji Watanabe,Shunji Watanabe,1938.0,,1963.0,1963.0,unknown,Shorinjiryu Kenkokan Karate|Japanese Karate|Karate|Shorinji-Ryu|Shorinjiryu|shorinjiryu|Shorinjiryu Kenkokan|Shorinjiryu Kenyukai Watanabe Ha Karate|Te,0,https://en.wikipedia.org/wiki/Shunji_Watanabe,Shorinjiryu Kenkokan Karate,Japanese Karate,Karate,Shorinji-Ryu,Shorinjiryu,shorinjiryu,Shorinjiryu Kenkokan,Shorinjiryu Kenyukai Watanabe Ha Karate,Te,
Q16187228,Q16187228,Robert Mustard,Robert Mustard,Robert Mustard,Robert,Mustard,Robert,Mustard,Robert Mustard,Robert Mustard,1956.0,,1981.0,1981.0,unknown,Yoshinkan Aikido|Kung Fu|Te|Yoshinkan,0,https://en.wikipedia.org/wiki/Robert_Mustard,Yoshinkan Aikido,Kung Fu,Te,Yoshinkan,,,,,,
Q1739011,Q1739011,Kenshiro Abbe,Kenshiro Abbe,Kenshiro Abbe,Kenshiro,Abbe,Kenshiro,Abbe,Kenshiro Abbe,Kenshiro Abbe,1915.0,1985.0,1940.0,1940.0,unknown,Shotokan|Karate|Shotokai|Te|Tendo-ryu,0,https://en.wikipedia.org/wiki/Kenshiro_Abbe,Shotokan,Karate,Shotokai,Te,Tendo-ryu,,,,,
Q369949,Q369949,Robert Culp,Robert Culp,Robert Culp,Robert,Culp,Robert,Culp,Robert Culp,Robert Culp,1930.0,2010.0,1955.0,1955.0,unknown,Te,0,https://en.wikipedia.org/wiki/Robert_Culp,Te,,,,,,,,,
Q730348,Q730348,Benny Urquidez,Benny Urquidez,Benny Urquidez,Benny,Urquidez,Benny,Urquidez,Benny Urquidez,Benny Urquidez,1952.0,,1977.0,1977.0,unknown,Kyokushin|Shotokan|Bill Ryusaki|Fujian White Crane|Japanese Karate|Karate|Kempo|Kenpo|Kenpo-Shotokan|Kung Fu|Te|Ukidokan|White Crane,0,https://en.wikipedia.org/wiki/Benny_Urquidez,Kyokushin,Shotokan,Bill Ryusaki,Fujian White Crane,Japanese Karate,Karate,Kempo,Kenpo,Kenpo-Shotokan,Kung Fu
Q4457146,Q4457146,Tsutomu Chida,Tsutomu Chida,Tsutomu Chida,Tsutomu,Chida,Tsutomu,Chida,Tsutomu Chida,Tsutomu Chida,1950.0,,1975.0,1975.0,unknown,Te,0,https://en.wikipedia.org/wiki/Tsutomu_Chida,Te,,,,,,,,,
Q303,Q303,Elvis Presley,Elvis Presley,Elvis Presley,Elvis,Presley,Elvis,Presley,Elvis Presley,Elvis Presley,1935.0,1977.0,1960.0,1960.0,unknown,Karate|Kenpo|Te,0,https://en.wikipedia.org/wiki/Elvis_Presley,Karate,Kenpo,Te,,,,,,,
