kata,person,person_as_written,person_id,in_dataset,role,era,disputed
Matsukaze,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,renamed,renamed c. 1930s-1940s,
Meikyo,Rohai lineage from Tomari-te,"Rohai lineage from Tomari-te (Matsumora line), arranged by Anko Itosu; renamed and reworked for Shotokan",,"group or body, not an individual",originated,renamed 1935; Shotokan version reworked late 1930s-40s,
Meikyo,Anko Itosu,Anko Itosu,Q527422,yes,standardised,renamed 1935; Shotokan version reworked late 1930s-40s,
Meikyo,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,renamed 1935; Shotokan version reworked late 1930s-40s,
Meikyo,Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,standardised,renamed 1935; Shotokan version reworked late 1930s-40s,
Seishan (Wado-ryu),old Okinawan lineage,old Okinawan lineage; Wado adaptation by Hironori Otsuka,,"group or body, not an individual",originated,Wado version 1930s (style founded 1934),
Seishan (Wado-ryu),Hironori Otsuka,Hironori Otsuka,Q386415,yes,standardised,Wado version 1930s (style founded 1934),
Shihohai,disputed: learned by Tsuyoshi Chitose from Hanashiro Chomo,disputed: learned by Tsuyoshi Chitose from Hanashiro Chomo (per Chitose's Kempo Karate-do) or from Aragaki Seisho,,NO — person missing,originated,19th-century Okinawa; fixed in Chito-ryu from 1946,
Shihohai,Chomo Hanashiro,Chomo Hanashiro,Q705617,yes,brought,19th-century Okinawa; fixed in Chito-ryu from 1946,
Shihohai,Tsuyoshi Chitose,Tsuyoshi Chitose,Q135222893,yes,standardised,19th-century Okinawa; fixed in Chito-ryu from 1946,
Sochin (Shotokan),Yoshitaka,"Yoshitaka (Gigo) Funakoshi, reworking the Aragaki-line Sochin",,NO — person missing,originated,late 1930s-early 1940s,
Sochin (Shotokan),Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,created,late 1930s-early 1940s,
Taikyoku,Gichin Funakoshi,Gichin Funakoshi with his son Yoshitaka (Gigo) Funakoshi,Q41105,yes,originated,"c. 1940 (published in Karate-do Nyumon, 1943)",
Taikyoku,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,created,"c. 1940 (published in Karate-do Nyumon, 1943)",
Taikyoku,Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,created,"c. 1940 (published in Karate-do Nyumon, 1943)",
Tekki,old Shuri-te lineage,old Shuri-te lineage (creator unknown); Anko Itosu (three-kata arrangement); Gichin Funakoshi (renaming),,"group or body, not an individual",originated,renamed 1935 (Naihanchi originals 19th century or earlier),
Tekki,Anko Itosu,Anko Itosu,Q527422,yes,standardised,renamed 1935 (Naihanchi originals 19th century or earlier),
Tekki,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,renamed 1935 (Naihanchi originals 19th century or earlier),
Ten no Kata,Gichin Funakoshi,Gichin Funakoshi with Yoshitaka (Gigo) Funakoshi,Q41105,yes,originated,"early 1940s (published in Karate-do Nyumon, 1943)",
Ten no Kata,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,created,"early 1940s (published in Karate-do Nyumon, 1943)",
Ten no Kata,Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,created,"early 1940s (published in Karate-do Nyumon, 1943)",
Tenshin,Tsuyoshi Chitose,Tsuyoshi Chitose (probable creation),Q135222893,yes,originated,mid-20th century (after 1946),
Tenshin,Tsuyoshi Chitose,Tsuyoshi Chitose,Q135222893,yes,created,mid-20th century (after 1946),
Wankan (Shotokan),Tomari-te lineage,Tomari-te lineage (Matsumora line); Shotokan version by Yoshitaka (Gigo) Funakoshi,,"group or body, not an individual",originated,Shotokan version late 1930s-1940s,
Wankan (Shotokan),Gigo Funakoshi,Gigo Funakoshi,Q628761,yes,created,Shotokan version late 1930s-1940s,
Akamine no Nunchaku,Eisuke Akamine,Akamine Eisuke,C00035,yes,originated,second half of the 20th century,
Akamine no Nunchaku,Eisuke Akamine,Eisuke Akamine,C00035,yes,created,second half of the 20th century,
Chatan Yara no Kon,Chatan Yara,Chatan Yara,Q542989,yes,created,early 18th century (traditional attribution),
Chatan Yara no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,early 18th century (traditional attribution),
Chatan Yara no Sai,Chatan Yara,Chatan Yara,Q542989,yes,created,early 18th century (traditional attribution),
Chatan Yara no Sai,Moden Yabiku,Moden Yabiku,C00373,yes,brought,early 18th century (traditional attribution),
Chatan Yara no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,early 18th century (traditional attribution),
Chinen Shikiyanaka no Kon,"Chinen Shikiyanaka, bo master of the Chinen family","Chinen Shikiyanaka, bo master of the Chinen family",,NO — person missing,originated,19th century,
Chinen Shikiyanaka no Kon,Sanda Chinen,Sanda Chinen,C00449,yes,brought,19th century,
Chinen Shikiyanaka no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century,
Hamahiga no Sai,Hamahiga Pechin of Hamahiga Island,Hamahiga Pechin of Hamahiga Island,,NO — person missing,originated,17th to 18th century (traditional attribution),
Hamahiga no Sai,Peechin Higa,Higa Peechin,Q1909096,yes,created,17th to 18th century (traditional attribution),
Hamahiga no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,17th to 18th century (traditional attribution),
Hamahiga no Tonfa,Hamahiga Pechin of Hamahiga Island,Hamahiga Pechin of Hamahiga Island,,NO — person missing,originated,17th to 18th century (traditional attribution),
Hamahiga no Tonfa,Peechin Higa,Higa Peechin,Q1909096,yes,created,17th to 18th century (traditional attribution),
Hamahiga no Tonfa,Shinken Taira,Shinken Taira,Q723832,yes,standardised,17th to 18th century (traditional attribution),
Hantagwa no Sai,Tsuken Hantagwa of Tsuken Island,Tsuken Hantagwa of Tsuken Island,,NO — person missing,originated,19th century (traditional attribution),
Hantagwa no Sai,Tsuken Hantaka,Tsuken Hantaka,C00627,yes,created,19th century (traditional attribution),
Hantagwa no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Jigen no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th to 20th century (transmission unclear),
Kama nu Ti,Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early to mid 20th century (methods older),
Kama nu Ti,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,created,early to mid 20th century (methods older),
Kama nu Ti,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early to mid 20th century (methods older),
Kanegawa no Nichogama,Kanegawa,"Kanegawa (Kanigawa), biographical details lost",,NO — person missing,originated,19th century (traditional attribution),
Kanegawa no Nichogama,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Kanegawa no Tinbe,Kanegawa,"Kanegawa (Kanigawa), biographical details lost",,NO — person missing,originated,19th century (traditional attribution),
Kanegawa no Tinbe,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Kojo no Sai,Kojo family of Kume,"Kojo family of Kume (Kuninda), Naha",,NO — person missing,originated,19th century (family tradition older),
Kojo no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (family tradition older),
Kongo no Kon,Shinken Taira,Taira Shinken,Q723832,yes,originated,mid 20th century (c. 1950s),
Kongo no Kon,Shinken Taira,Shinken Taira,Q723832,yes,created,mid 20th century (c. 1950s),
Kusanku Sai,Tatsuo Shimabuku,Shimabuku Tatsuo,Q27363,yes,originated,c. 1950s-1960s,
Kusanku Sai,Tatsuo Shimabuku,Tatsuo Shimabuku,Q27363,yes,created,c. 1950s-1960s,
Kuwa nu Ti,Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early 20th century (methods older),
Kuwa nu Ti,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,created,early 20th century (methods older),
Kuwa nu Ti,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early 20th century (methods older),
Kyan no Sai,the circle of Kyan Chotoku,attributed to the circle of Kyan Chotoku; assembled by Shimabuku Tatsuo,,NO — person missing,originated,first half of the 20th century; fixed c. 1956,
Kyan no Sai,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,brought,first half of the 20th century; fixed c. 1956,
Kyan no Sai,Tatsuo Shimabuku,Tatsuo Shimabuku,Q27363,yes,standardised,first half of the 20th century; fixed c. 1956,
Maezato no Nunchaku,Shinken Taira,Taira Shinken (born Maezato Shinken),Q723832,yes,originated,mid 20th century (c. 1930s-1950s),
Maezato no Nunchaku,Shinken Taira,Shinken Taira,Q723832,yes,created,mid 20th century (c. 1930s-1950s),
Maezato no Tekko,Shinken Taira,Taira Shinken (born Maezato Shinken),Q723832,yes,originated,mid 20th century (c. 1930s-1950s),
Maezato no Tekko,Shinken Taira,Shinken Taira,Q723832,yes,created,mid 20th century (c. 1930s-1950s),
Manji no Sai,Shinken Taira,Taira Shinken,Q723832,yes,originated,mid 20th century (c. 1950s),
Manji no Sai,Shinken Taira,Shinken Taira,Q723832,yes,created,mid 20th century (c. 1950s),
Matayoshi no Nunchaku,Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early to mid 20th century,
Matayoshi no Nunchaku,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,created,early to mid 20th century,
Matayoshi no Nunchaku,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early to mid 20th century,
Matayoshi no Sai,Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early to mid 20th century,
Matayoshi no Sai,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,created,early to mid 20th century,
Matayoshi no Sai,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early to mid 20th century,
Matayoshi no Tunkua,Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early to mid 20th century,
Matayoshi no Tunkua,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,created,early to mid 20th century,
Matayoshi no Tunkua,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early to mid 20th century,
Nunti,Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early 20th century (methods older),
Nunti,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,created,early 20th century (methods older),
Nunti,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early 20th century (methods older),
Sakugawa no Kon,Sakugawa Kanga,Sakugawa Kanga (Tode Sakugawa),,NO — person missing,originated,late 18th to early 19th century,
Sakugawa no Kon,Kanga Sakukawa,Kanga Sakukawa,Q921673,yes,created,late 18th to early 19th century,
Sakugawa no Kon,Moden Yabiku,Moden Yabiku,C00373,yes,brought,late 18th to early 19th century,
Sakugawa no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,late 18th to early 19th century,
Sansetsukon Dai Ichi,Shinko Matayoshi,"Matayoshi Shinko (from Kingai-ryu, Fuzhou)",Q1908088,yes,originated,learned c. 1911-1934; codified mid 20th century,
Sansetsukon Dai Ichi,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,brought,learned c. 1911-1934; codified mid 20th century,
Sansetsukon Dai Ichi,Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,learned c. 1911-1934; codified mid 20th century,
Sesoko no Kon,"Sesoko, biographical details lost","Sesoko, biographical details lost",,NO — person missing,originated,19th century (traditional attribution),
Sesoko no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Shirotaru no Kon,Shirotaru,"Shirotaru (Shirataru), biographical details uncertain",W0010,yes,originated,18th to 19th century (traditional attribution),
Shirotaru no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,18th to 19th century (traditional attribution),
Shirotaru no Kon,Sanda Chinen,Sanda Chinen,C00449,yes,brought,18th to 19th century (traditional attribution),
Shoun no Kon,Shoun,"Shoun (Choun), identity uncertain, possibly a Chinese settler",KN010,yes,originated,19th century (traditional attribution),
Shoun no Kon,Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,brought,19th century (traditional attribution),
Shoun no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Shushi no Kon Dai,Shushi,"Shushi (Zhou), a Chinese settler in Okinawa (traditional attribution)",KN002,yes,originated,19th century (traditional attribution),
Shushi no Kon Dai,Moden Yabiku,Moden Yabiku,C00373,yes,brought,19th century (traditional attribution),
Shushi no Kon Dai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Shushi no Kon Sho,Shushi,"Shushi (Zhou), a Chinese settler in Okinawa (traditional attribution)",KN002,yes,originated,19th century (traditional attribution),
Shushi no Kon Sho,Moden Yabiku,Moden Yabiku,C00373,yes,brought,19th century (traditional attribution),
Shushi no Kon Sho,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Soeishi no Kon,Soeishi Ryotoku,Soeishi Ryotoku (Soeishi Uekata) of Shuri,KN003,yes,originated,18th century (traditional attribution),
Soeishi no Kon,Soeishi,Soeishi,B0030,yes,created,18th century (traditional attribution),
Soeishi no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,18th century (traditional attribution),
Soeishi no Kon,Tatsuo Shimabuku,Tatsuo Shimabuku,Q27363,yes,renamed,18th century (traditional attribution),
Sueyoshi no Kon,Sueyoshi,"Sueyoshi (Shuri), biographical details lost",KN008,yes,originated,19th century (traditional attribution),
Sueyoshi no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Sunakake no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution); fixed 20th century,
Tawada no Sai,Tawada Shinboku,Tawada Shinboku (Tawada Pechin) of Shuri,KN011,yes,originated,19th century,
Tawada no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century,
Tinbe (Matayoshi),Shinko Matayoshi,Matayoshi Shinko,Q1908088,yes,originated,early 20th century,
Tinbe (Matayoshi),Shinko Matayoshi,Shinko Matayoshi,Q1908088,yes,brought,early 20th century,
Tinbe (Matayoshi),Shinpo Matayoshi,Shinpo Matayoshi,Q1908090,yes,standardised,early 20th century,
Tokumine no Kun,Tokumine Pechin of Shuri,Tokumine Pechin of Shuri,,NO — person missing,originated,late 19th century,
Tokumine no Kun,Chotoku Kyan,Chotoku Kyan,Q2393877,yes,brought,late 19th century,
Tokumine no Kun,Tatsuo Shimabuku,Tatsuo Shimabuku,Q27363,yes,standardised,late 19th century,
Tsuken Shitahaku no Sai,"Tsuken Shitahaku, biographical details uncertain","Tsuken Shitahaku, biographical details uncertain",,NO — person missing,originated,late 18th to 19th century (traditional attribution),
Tsuken Shitahaku no Sai,Moden Yabiku,Moden Yabiku,C00373,yes,brought,late 18th to 19th century (traditional attribution),
Tsuken Shitahaku no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,late 18th to 19th century (traditional attribution),
Tsuken Sunakake no Eku,"Tsuken Akachu, oarsman of Tsuken Island","Tsuken Akachu, oarsman of Tsuken Island (legendary)",,NO — person missing,originated,19th century (traditional attribution),
Tsuken Sunakake no Eku,Tsuken Akachu,Tsuken Akachu,C00626,yes,created,19th century (traditional attribution),
Tsuken Sunakake no Eku,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Tsuken no Kon,Tsuken Seisoku,Tsuken Seisoku (Shosoku) Oyakata of Tsuken Island,,NO — person missing,originated,18th century (traditional attribution),
Tsuken no Kon,Tsuken Shosoku Oyakata,Tsuken Shosoku Oyakata,A0025,yes,created,18th century (traditional attribution),
Tsuken no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,18th century (traditional attribution),
Ufuchiku no Sai,Sanda Kanagusuku,Kanagusuku Sanda (Kinjo Ufuchiku),C00450,yes,originated,late 19th century,
Ufuchiku no Sai,Sanda Kanagusuku,Sanda Kanagusuku,C00450,yes,created,late 19th century,
Ufuchiku no Sai,Shosei Kina,Shosei Kina,C00527,yes,standardised,late 19th century,
Ufuchiku no Sai,Kaishu Isa,Kaishu Isa,A0127,yes,standardised,late 19th century,
Urashi no Kon,Uhugushiku,"Uhugushiku (Ufugusuku), bushi associated with Urasoe (traditional attribution)",A0221,yes,originated,19th century (traditional attribution),
Urashi no Kon,Uhugushiku,Uhugushiku,A0221,yes,created,19th century (traditional attribution),
Urashi no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Yaka no Sai,Yaka,"Yaka (Kin district), biographical details lost",,NO — person missing,originated,19th century (traditional attribution),
Yaka no Sai,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Yaraguwa no Tonfa,Yaraguwa,"Yaraguwa ('young Yara'), traditionally of the Chatan Yara line",,NO — person missing,originated,18th to 19th century (traditional attribution),
Yaraguwa no Tonfa,Chatan Yara,Chatan Yara,Q542989,yes,created,18th to 19th century (traditional attribution),
Yaraguwa no Tonfa,Shinken Taira,Shinken Taira,Q723832,yes,standardised,18th to 19th century (traditional attribution),
Yonegawa no Kon,Yonegawa,"Yonegawa (Yunigawa), biographical details lost",,NO — person missing,originated,19th century (traditional attribution),
Yonegawa no Kon,Moden Yabiku,Moden Yabiku,C00373,yes,brought,19th century (traditional attribution),
Yonegawa no Kon,Shinken Taira,Shinken Taira,Q723832,yes,standardised,19th century (traditional attribution),
Bassai,Attributed variously to Sokon Matsumura and Oyadomari lineages,Attributed variously to Sokon Matsumura and Oyadomari lineages (origin uncertain),,"group or body, not an individual",originated,Passai 18th-19th century; in Korea from mid-1940s,
Bassai,Sokon Matsumura,Sokon Matsumura,Q715769,yes,standardised,Passai 18th-19th century; in Korea from mid-1940s,
Bassai,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Passai 18th-19th century; in Korea from mid-1940s,
Bassai,Hwang Kee,Hwang Kee,A0001,yes,brought,Passai 18th-19th century; in Korea from mid-1940s,
Bassai,Byung Jick Ro,Byung Jick Ro,A0151,yes,brought,Passai 18th-19th century; in Korea from mid-1940s,
Chil Sung series,Hwang Kee,Hwang Kee,A0001,yes,created,Created from 1952,
Choi-Yong,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Choi-Yong,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Chon-Ji,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Chon-Ji,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Chon-Ji,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Chonkwon,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Chonkwon,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Chonkwon,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
Choong-Jang,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Choong-Jang,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Choong-Moo,Choi Hong-hi,Choi Hong-hi with Nam Tae-hi,Q356335,yes,originated,1955 (among the first tul created),
Choong-Moo,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,1955 (among the first tul created),
Choong-Moo,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,1955 (among the first tul created),
Chul Ki series,Unknown Okinawan/Chinese origin,Unknown Okinawan/Chinese origin; standardised by Anko Itosu,,"group or body, not an individual",originated,Naihanchi 19th century or earlier; in Korea from mid-1940s,
Chul Ki series,Anko Itosu,Anko Itosu,Q527422,yes,standardised,Naihanchi 19th century or earlier; in Korea from mid-1940s,
Chul Ki series,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Naihanchi 19th century or earlier; in Korea from mid-1940s,
Chul Ki series,Hwang Kee,Hwang Kee,A0001,yes,brought,Naihanchi 19th century or earlier; in Korea from mid-1940s,
Chul Ki series,Byung Jick Ro,Byung Jick Ro,A0151,yes,brought,Naihanchi 19th century or earlier; in Korea from mid-1940s,
Dan Kwon / Jang Kwon / Palgi Kwon,Yoon Byung-in,Yoon Byung-in,A0154,yes,brought,Taught in Korea 1946-1950s,
Dan Kwon / Jang Kwon / Palgi Kwon,Park Chul-hee,Park Chul-hee,A0174,yes,standardised,Taught in Korea 1946-1950s,
Dan-Gun,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Dan-Gun,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Dan-Gun,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Do-San,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Do-San,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Do-San,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Eui-Am,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By 1972 (ITF canon),
Eui-Am,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By 1972 (ITF canon),
Ge-Baek,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,By the mid-1960s,
Ge-Baek,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,By the mid-1960s,
Hansu,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Hansu,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Hansu,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
Hwa Sun,Hwang Kee,Hwang Kee,A0001,yes,created,Late 20th century (after 1957),
Hwa-Rang,Choi Hong-hi,Choi Hong-hi with Nam Tae-hi,Q356335,yes,originated,1955 (among the first tul created),
Hwa-Rang,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,1955 (among the first tul created),
Hwa-Rang,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,1955 (among the first tul created),
Ilyeo,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Ilyeo,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Ilyeo,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
Ji On,Unknown,Unknown; Tomari-te temple-kata tradition,,"group or body, not an individual",originated,19th century; in Korea from mid-1940s,
Ji On,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,19th century; in Korea from mid-1940s,
Ji On,Hwang Kee,Hwang Kee,A0001,yes,brought,19th century; in Korea from mid-1940s,
Jin Do,"Sokon Matsumura, from the sailor Chintō","Attributed to Sokon Matsumura, from the sailor Chintō (folklore)",,NO — person missing,originated,Chintō mid-19th century; in Korea from mid-1940s,
Jin Do,Sokon Matsumura,Sokon Matsumura,Q715769,yes,created,Chintō mid-19th century; in Korea from mid-1940s,
Jin Do,Hwang Kee,Hwang Kee,A0001,yes,brought,Chintō mid-19th century; in Korea from mid-1940s,
Jin Do,Won Kuk Lee,Won Kuk Lee,Q9096235,yes,brought,Chintō mid-19th century; in Korea from mid-1940s,
Jitae,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Jitae,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Jitae,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
Joong-Gun,Choi Hong-hi,Choi Hong-hi and his pattern team,Q356335,yes,originated,c. 1955-1962,
Joong-Gun,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1955-1962,
Joong-Gun,Nam Tae-hi,Nam Tae-hi,A0003,yes,created,c. 1955-1962,
Juche,Choi Hong-hi,Choi Hong-hi with the ITF technical committee,Q356335,yes,originated,c. 1986,
Juche,Choi Hong-hi,Choi Hong-hi,Q356335,yes,created,c. 1986,
Keumgang,KTA/Kukkiwon poomsae committee,KTA/Kukkiwon poomsae committee,,"group or body, not an individual",originated,1967 (yudanja set),
Keumgang,Lee Chong-woo,Lee Chong-woo,A0176,yes,created,1967 (yudanja set),
Keumgang,Lee Kyo-yoon,Lee Kyo-yoon,A0172,yes,created,1967 (yudanja set),
