id,label,parent,family,founder,founded,ancestry,n_people,aliases
shintaido,Shintaido (新体道),shotokai,japanese,Hiroyuki Aoki,1969,Shintaido (新体道) < Shotokai < Shotokan < Shuri-te < Te,1,
shintani-wado-kai,Shintani Wado Kai,wado-ryu,japanese,Masaru Shintani,1966,Shintani Wado Kai < Wado-Ryu < Shotokan < Shuri-te < Te,1,SWKKF; Shintani Wado Kai; Shintani Wado Kai Karate Federation
shito-kai,Shitō-kai Shitō-ryū,shito-ryu,japanese,Manzo Iwata,1964,Shitō-kai Shitō-ryū < Shito-Ryu < Shuri-te < Te,9,All Japan Karatedo Shito-kai; Higashi-Nihon Shito-kai; JKF Shitō-kai; Japan Karatedo Kai; Nishi-Nihon Shito-kai; Shitō-kai Shitō-ryū; World Shitoryu Karatedo Federation; World Shitōryū Karate-dō Federation (WSKF); 全日本空手道連盟糸東会
shito-ryu,Shito-Ryu,shuri-te,japanese,Kenwa Mabuni,1934,Shito-Ryu < Shuri-te < Te,58,Hanko-ryū (early name); Shito Ryu; Shito-Kai; Shito-Ryu; Shitokai; Shitoryu; kotaka-ha-shito-ryu; seito-shito-ryu; shitokai; shitoryu; 糸東流
shito-ryu-shobukan,Shitō-ryū Shōbukan (Kayō),motobu-ha-shito-ryu,japanese,Kyoshin Kayo,1965,Shitō-ryū Shōbukan (Kayō) < Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,1,Japan Karatedo Shobukan; Shitō-ryū Shōbukan (Kayō); Shōbukan Dōjō
shorin-ken,Shorin-Ken Karatedo (DNBK Honbu karate curriculum),dai-nippon-butokukai,japanese,,,Shorin-Ken Karatedo (DNBK Honbu karate curriculum) < Dai Nippon Butokukai,4,"Shorin-Ken Karatedo (DNBK Honbu karate curriculum); 少林拳 (kanji inferred, not confirmed in a Japanese source)"
shoshin-ha-shito-ryu,Shōshin-ha Shitō-ryū,itosu-ryu,japanese,Hisahiro Uno,,Shōshin-ha Shitō-ryū < Itosu-Ryu < Shito-Ryu < Shuri-te < Te,2,Shoshin-ha Shito-ryu Karatedo Renmei; Shōshin-ha Shitō-ryū; 尚心派糸東流空手道連盟
shotokai,Shotokai,shotokan,japanese,Shigeru Egami,1957,Shotokai < Shotokan < Shuri-te < Te,20,Dai Nihon Karate-do Shotokai; Shoto-kai; Shotokai
shotokan,Shotokan,shuri-te,japanese,Gichin Funakoshi,1936,Shotokan < Shuri-te < Te,108,JKA karate; Karatenomichi World Federation; SKIF; Shoto-ryu; Shotokan; Shotokan Karate; Shotokan Karate of America; Shotokan Ryu; Shotokan-Ryu; Shotokan-ryu; Shotoryu; shotokanryu; shotoryu
shukokai,Shukokai,shito-ryu,japanese,Chojiro Tani,1946,Shukokai < Shito-Ryu < Shuri-te < Te,19,Shukokai; Shukokai Karate; Tani-ha Shito-ryu; Tani-ha Shitō-ryū; tani-ha-shito-ryu; 修交会; 谷派糸東流拳法空手道修交会
ska,Shotokan Karate of America (Ohshima line),shotokan,japanese,Tsutomu Ohshima,1955,Shotokan Karate of America (Ohshima line) < Shotokan < Shuri-te < Te,4,SKA; Shotokan Karate of America (Ohshima line); Southern California Karate Association
skif,Shotokan Karate-do International Federation (Kanazawa-ha),jka,japanese,Hirokazu Kanazawa,1977,Shotokan Karate-do International Federation (Kanazawa-ha) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,5,SKI; Shotokan Karate International; Shotokan Karate-do International Federation (Kanazawa-ha)
tsuruoka-ryu,Tsuruoka-ryū,chito-ryu,japanese,Masami Tsuruoka,,Tsuruoka-ryū < Chito-Ryu < Shuri-te < Te,1,National Karate Association (Canada) lineage; Tsuruoka Karate-do; Tsuruoka-ryū
us-eastern-wado-ryu-federation,United States Eastern Wado-Ryu Karate Federation,wado-ryu,japanese,Cecil T. Patterson,1968,United States Eastern Wado-Ryu Karate Federation < Wado-Ryu < Shotokan < Shuri-te < Te,0,
wado-kai,Wadōkai (JKF Wadokai),wado-ryu,japanese,Hironori Ōtsuka (organisation continued within JKF after the 1981 split),1964,Wadōkai (JKF Wadokai) < Wado-Ryu < Shotokan < Shuri-te < Te,4,Japan Karate Federation Wadokai; Wadōkai (JKF Wadokai); Zen Nihon Karatedō Renmei Wadōkai; 和道会
wado-kokusai,Wadō Kokusai (Wado International Karate-do Federation),wado-ryu,japanese,Tatsuo Suzuki,1991,Wadō Kokusai (Wado International Karate-do Federation) < Wado-Ryu < Shotokan < Shuri-te < Te,5,Suzuki-ha Wadō-ryū; WIKF; Wado International Karate-do Federation; Wadō Kokusai (Wado International Karate-do Federation)
wado-ryu,Wado-Ryu,shotokan,japanese,Hironori Ōtsuka,1934,Wado-Ryu < Shotokan < Shuri-te < Te,38,CategorieWado-ryu; JKF Wadokai; WADOKAI; Wado Kokusai (WIKF); Wado-Kai; Wado-Ryu; Wado-kai; Wado-ryu Karate-do Renmei; WadoKai; Wadokai; wadokai; wadoryu
wado-ryu-karate-do-renmei,Wadōryū Karatedō Renmei,wado-ryu,japanese,Hironori Ōtsuka (succeeded by Hironori Ōtsuka II and III),1981,Wadōryū Karatedō Renmei < Wado-Ryu < Shotokan < Shuri-te < Te,2,Wado Ryu Karate Do Renmei; Wadōryū Karatedō Renmei; Wadōryū Renmei; 和道流空手道連盟
washin-ryu,Washin-Ryu,,japanese,Hidy Ochiai,1966,Washin-Ryu,1,Washin-Ryu Karate; Washin-Ryu karate; 和真流
wskf,World Shotokan Karate-do Federation (Kasuya-ha),jka,japanese,Hitoshi Kasuya,1990,World Shotokan Karate-do Federation (Kasuya-ha) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,1,
yamada-ha-shito-ryu-shukokai,Yamada-ha Shitō-ryū Shukokai,shukokai,japanese,Haruyoshi Yamada,1998,Yamada-ha Shitō-ryū Shukokai < Shukokai < Shito-Ryu < Shuri-te < Te,1,Shito-ryu Shukokai Karate-do Union; Shito-ryu Shukokai Union; Yamada-ha Shito-ryu Shukokai Karatedo World Union; Yamada-ha Shitō-ryū Shukokai; Yamada-ha Shitō-ryū Shukokai Karate-dō
yoshukai,Yoshukai,chito-ryu,japanese,Katsuoh Yamamoto,1963,Yoshukai < Chito-Ryu < Shuri-te < Te,5,Yoshukai Karate
yoshukai-international,Yoshukai International,yoshukai,japanese,Michael G. Foster,1980,Yoshukai International < Yoshukai < Chito-Ryu < Shuri-te < Te,1,Yoshukai International; Yoshukai International Karate Association; Yoshukai Karate International
yuishinkai,Yuishinkai (唯心会),shindo-jinen-ryu,japanese,"Inoue Motokatsu (井上元勝, 1918-1993)",1948,Yuishinkai (唯心会) < Shindo Jinen-Ryu < Shuri-te < Te,0,
zen-nihon-koshiki,Zen Nihon Kōshiki Karate-dō Renmei (全日本硬式空手道連盟),koshiki-karatedo,japanese,,1981,Zen Nihon Kōshiki Karate-dō Renmei (全日本硬式空手道連盟) < Kōshiki Karatedō < Shorinjiryu Kenkokan < Shorin-Ryu < Shuri-te < Te,0,Zen Nihon Kōshiki Karate-dō Renmei (全日本硬式空手道連盟); 全日本硬式空手道連盟
american-kenpo,American Kenpo,kara-ho-kempo,kenpo,Ed Parker,1954,American Kenpo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,6,American Kenpo; American Kenpo Karate; american-kenpo; ed-parker-kenpo; kenpo-karate
kajukenbo,Kajukenbo,kara-ho-kempo,kenpo,"Adriano Emperado (with Peter Y. Y. Choo, Joseph Holck, Frank Ordonez, Clarence Chang)",1947,Kajukenbo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,1,Kajukenbo; kajukembo; kajukenbo
kajukenbo-chuan-fa,Kajukenbo Ch'uan Fa,kajukenbo,kenpo,"Adriano Emperado, Al Dacascos and Al Dela Cruz",1965,Kajukenbo Ch'uan Fa < Kajukenbo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,0,Chu'an Fa Kajukenbo; Kajukenbo Ch'uan Fa
kajukenbo-gaylord-method,Kajukenbo Gaylord Method,kajukenbo,kenpo,Charles Gaylord,1963,Kajukenbo Gaylord Method < Kajukenbo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,0,Gaylord Method; Gaylord-ha Kajukenbo; Kajukenbo Gaylord Method
kajukenbo-tum-pai,Kajukenbo Tum Pai,kajukenbo,kenpo,"Jon A. Loren (building on 1959 work of Adriano Emperado, Al Dela Cruz and Al Dacascos)",1976,Kajukenbo Tum Pai < Kajukenbo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,0,Kajukenbo Tum Pai; Tum Pai
kara-ho-kempo,Kara-Ho Kempo,kosho-shorei-ryu,kenpo,William Kwai Sun Chow,1944,Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,2,Chinese Kara-Ho Kempo; Go Shinjutsu; Kara-Ho Kempo; chinese-kara-ho-kempo; kara-ho-kempo
kenpo,Kenpo,,kenpo,,,Kenpo,32,Kempo; Kempo Karate; Kenpo; Kenpo Karate; Kenpo-Shotokan
kosho-shorei-ryu,Kosho Shorei-Ryu Kenpo,kenpo,kenpo,James Mitose,1936,Kosho Shorei-Ryu Kenpo < Kenpo,1,James MitoseKosho Shorei-Ryu Kenpo; Kenpo Jiu-Jitsu; Kosho Shorei-Ryu Kenpo; Kosho Shorei-ryu; Kosho-ryū Kenpo; Official Self-Defense Club (1942); kenpo-jiu-jitsu; kosho-ryu-kenpo; kosho-shorei-ryu
tracy-kenpo,Tracy Kenpo,american-kenpo,kenpo,Al Tracy and Jim Tracy,1962,Tracy Kenpo < American Kenpo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,2,Tracy Kenpo; tracy-kenpo; tracy-system; tracys-kenpo-karate
wun-hop-kuen-do,Wun Hop Kuen Do,kajukenbo,kenpo,Al Dacascos,1969,Wun Hop Kuen Do < Kajukenbo < Kara-Ho Kempo < Kosho Shorei-Ryu Kenpo < Kenpo,0,Combination Fist Art; WHKD; Wun Hop Kuen Do
