teacher_id,teacher,student_id,student,confidence,evidence,direction_flipped
A0020,Shian Toma,A0106,Stephen Chan,low,research:http://www.stephen-chan.com/martial-arts/ | research:https://chilembowarriormoves.com/2017/06/19/zambian-karate-history-profile-professor-stephen-chan-obe-9th-dan/,
A0020,Shian Toma,A0107,Shigemitsu Tamae,high,research:https://seidokankarate.org/shigemitsu-tamae-biography | research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
A0020,Shian Toma,A0108,John E. Kennedy,high,research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
A0020,Shian Toma,A0109,Allen Tackett,medium,research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
A0020,Shian Toma,A0110,Glenn Capistrant,medium,research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
A0020,Shian Toma,A0111,C. Michial Jones,low,research:https://en.wikipedia.org/wiki/Okinawa_Seidokan | research:http://yushikan.blogspot.com/2017/09/seidokan-karate-kobudo.html,
A0020,Shian Toma,J0029,Tetsuo Takamiyagi,low,research:https://www.okinawakaratekobudo.com/about.html,
A0021,Seiki Toma,A0020,Shian Toma,medium,research:https://seidokankarate.org/shian-toma-biography | research:https://shuriway.com/toma.html,
A0021,Seiki Toma,A0104,Roy J. Hobbs,low,research:https://www.dentokan.org.uk/ARTS | research:https://www.dentokan.com/,
A0021,Seiki Toma,A0106,Stephen Chan,low,research:http://www.stephen-chan.com/martial-arts/,
A0021,Seiki Toma,A0113,Seifuku Nitta,medium,research:https://shuriway.com/toma.html,
A0021,Seiki Toma,Q15987278,Seikichi Odo,high,research:https://en.wikipedia.org/wiki/Seikichi_Odo | research:https://shuriway.com/toma.html | research:https://pelletierskarate.com/about-karate/brief-history-of-okinawa-kenpo/,
A0021,Seiki Toma,Q6782576,Masanobu Kikukawa,high,research:https://en.wikipedia.org/wiki/Masanobu_Kikukawa | research:https://shuriway.com/toma.html,
A0022,Katsunori Tsuyama,C00342,Masao Kawasoe,medium,research:https://brothockkarateclub.wordpress.com/sensei-masao-kawasoe/ | research:http://findingkarate.com/wordpress/katsunori-tsuyama/,
A0022,Katsunori Tsuyama,Q4353136,Tatsuya Naka,medium,research:http://findingkarate.com/wordpress/tatsuya-naka/ | research:https://the-dojo.org/2019/07/06/master-of-the-masters-katsunori-tsuyama/,
A0022,Katsunori Tsuyama,Q7678008,Takemasa Okuyama,low,research:https://en.wikipedia.org/wiki/Takemasa_Okuyama,
A0022,Katsunori Tsuyama,Q896129,Hideo Ochi,high,research:https://www.karate-gasshuku.de/team/katsunori-tsuyama/ | research:http://findingkarate.com/wordpress/katsunori-tsuyama/,
A0023,Hiroyasu Fujishima,Q16875962,Shinobu Ichiyanagi,low,research:https://en.wikipedia.org/wiki/Shinobu_Ichiyanagi,
A0024,Sokuichi Gibu,Q6782576,Masanobu Kikukawa,high,research:https://en.wikipedia.org/wiki/Masanobu_Kikukawa,
A0025,Tsuken Shosoku Oyakata,C00626,Tsuken Akachu,low,research:http://aiki-jitsu.hu/aiki-jitsu/okinawa-kobudo/ | research:https://www.dragonacademy.it/kobudo-di-okinawa/,
A0026,Yoshimi Inoue,A0197,Antonio Diaz,high,research:https://en.wikipedia.org/wiki/Antonio_D%C3%ADaz_(karateka),
A0026,Yoshimi Inoue,A0226,Mie Nakayama,high,research:http://findingkarate.com/wordpress/___profile-mie-nakayama/ | research:http://findingkarate.com/wordpress/spotlight-yoshimi-inoue-trainer-of-champions/ | research:https://www.karatebyjesse.com/the-wisdom-of-inoue-yoshimi-legendary-japanese-national-team-kata-coach-seminar-recap/,
A0026,Yoshimi Inoue,Q11449100,Rika Usami,high,research:http://findingkarate.com/wordpress/rika-usami/ | research:https://www.facebook.com/wkfofficial/photos/538096786330101/ | research:https://www.karatebyjesse.com/the-wisdom-of-inoue-yoshimi-legendary-japanese-national-team-kata-coach-seminar-recap/,
A0026,Yoshimi Inoue,Q2869852,Atsuko Wakai,medium,research:https://inoue-ha-kenshinsya.wixsite.com/home/1stsoke,
A0027,Katsuoh Yamamoto,Q6830460,Michael G Foster,high,research:https://en.wikipedia.org/wiki/Michael_G._Foster | research:https://yoshukaialliance.com/about/history-of-yoshukai-karate/,
A0028,Chosei Motobu,A0220,Naoki Motobu,high,research:https://medium.com/@motobu715/self-introduction-9c4fb4e44e5a,
A0029,Choshin Motobu,Q706389,Choyu Motobu,high,research:https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dy%C5%AB | research:https://en.wikipedia.org/wiki/House_of_Motobu,
A0030,Sakuma Pechin,Q1147708,Choki Motobu,medium,research:https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dki,
A0031,Joki Uema,A0032,Yasuhiro Uema,high,research:https://www.shubukan.jp/ | research:https://www.shubukanindia.org/shubukan-okinawa,
A0031,Joki Uema,A0033,Takeshi Uema,low,research:https://www.shubukan.jp/,
A0032,Yasuhiro Uema,A0033,Takeshi Uema,high,research:https://www.shubukan.jp/ | research:https://okinawachikaradojo.blogspot.com/2024/12/takeshi-uema-sensei-de-la-escuela.html,
A0046,Isamu Tamotsu,A0047,Iwao Tamotsu,high,research:https://www.renshinkankarate-england.org.uk/about-us,
A0046,Isamu Tamotsu,A0048,Yuzo Tamotsu,medium,research:https://www.renshinkankarate-england.org.uk/about-us,
A0053,Chotoku Omine,A0061,Joseph Carbonara,medium,research:https://ominekarate.com/?p=240,
A0054,Kensei Taba,J0049,Kiyomasa Maeda,high,"research:shogenryu.com/lineage/: long-time senior student of Kensei Taba (1933-2012, founder of Shogen-ryu, himself a student of Nagamine Shoshin from 1948, Chibana Choshin from 1951 and Soken Hohan from 1952), who awarded Maeda 10th dan in 2012 and chose him as successor",
A0057,James Wax,A0058,Frank Grant,high,research:https://www.matsunokikarate.com/hanshi-frank-grant | research:https://shorin-ryu.net/nagamine_bios.html,
A0060,Terry Maccarrone,A0059,Robert Scaglione,high,research:https://www.shorinryu.com/about-hanshi-scaglione,
A0061,Joseph Carbonara,A0062,Jerry Figgiani,high,research:https://srkdi.org/shorin-ryu-history-1 | research:https://ecbbacademy.com/about-owner.html,
A0063,Masao Shima,A0064,Eihachi Ota,high,research:https://okinawanshorinryuindia.com/Ota%20Eihachi.html | research:https://www.shorin-ryu.com/,
A0063,Masao Shima,A0118,Hidemi Tamayose,low,research:https://www.okinawatimes.co.jp/articles/-/344876,
A0066,Yuichi Kuda,A0067,Tomosada Kuda,high,research:https://matsumurakenpobischofsheim.wordpress.com/uber-uns/ | research:https://okinawa-karate-moerfelden.org/en/lineage-of-the-masters/,
A0069,Seizan Kinjo,A0070,Ronald Lindsey,high,research:https://www.ikigaiway.com/interview-ronald-lindsey-matsumura-seito-9th-dan-part-1/ | research:https://www.bastropprovidencefuneralhome.com/obituaries/ronald-lindsey,
A0072,Nobutake Shingake,C00066,Fusei Kise,medium,research:https://shuriway.com/kise.html,
A0078,Chojiro Tani,A0079,Shigeru Kimura,high,research:https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai | research:https://shuriway.com/kimura.html,
A0078,Chojiro Tani,A0080,Haruyoshi Yamada,medium,research:https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai,
A0078,Chojiro Tani,A0089,Chuzo Kotaka,low,research:https://www.ikfhawaii.com/history,
A0079,Shigeru Kimura,A0081,Eddie Daniels,medium,research:https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai | research:http://findingkarate.com/wordpress/shigeru-kimura/,
A0079,Shigeru Kimura,A0082,Bill Bressaw,medium,research:https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai | research:http://findingkarate.com/wordpress/shigeru-kimura/,
A0079,Shigeru Kimura,A0083,Chris Thompson,medium,research:https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai | research:http://findingkarate.com/wordpress/shigeru-kimura/,
A0079,Shigeru Kimura,A0084,Lionel Marinus,medium,research:https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai | research:http://findingkarate.com/wordpress/shigeru-kimura/,
A0089,Chuzo Kotaka,A0088,Akio Minakami,high,research:http://findingkarate.com/wordpress/akio-minakami/ | research:https://en.wikipedia.org/wiki/Akio_Minakami,
A0089,Chuzo Kotaka,C00159,John Sells,low,research:https://shuriway.com/sells.html,
A0103,Akira Kitagawa,Q23688927,Masaru Shintani,high,research:https://en.wikipedia.org/wiki/Masaru_Shintani,
A0104,Roy J. Hobbs,A0106,Stephen Chan,low,research:http://www.stephen-chan.com/martial-arts/ | research:https://davehague.wixsite.com/karate,
A0104,Roy J. Hobbs,A0111,C. Michial Jones,low,research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
A0113,Seifuku Nitta,A0112,Larry Isaac,low,research:https://limacjacksonville.wixsite.com/isaacsmartialarts/instructors,
A0114,Ulf Karlsson,A0115,Noah Legel,low,research:https://ilpracticalkarate.com/author-biography | research:https://ilpracticalkarate.com/kishimotodi | research:https://azpracticalkarate.com/2020/12/kishimotodi-revisited.html,
A0116,Kijun Kishimoto,C00494,Seitoku Higa,medium,research:https://www.motobu-ryu.org/%E8%B3%87%E6%96%99%E5%AE%A4/%E6%88%A6%E5%BE%8C/%E9%81%93%E6%B7%B1%E3%81%97-%E7%A9%BA%E6%89%8B%E6%AD%A6%E9%81%93-1966/,
A0125,Umikana Chinen,C00449,Sanda Chinen,medium,research:https://www.koryu-uchinadi.com/yamane-ryu/ | research:https://en.wikipedia.org/wiki/Yamanni_ryu,
A0128,Kiichi Nakamoto,J0047,Eishō Nakamoto,medium,"research:OKIC official Okinawa dojo register lists 仲本英征 (furigana ヒデユキ, Hideyuki) as head of the Ginowan branch dojo of the Goju-ryu Okinawakan Karate-do Association, Nakamoto Kiichi's organisation; Yushikan blog names Hideyuki Nakamoto among Kiichi Nakamoto's senior kobudo students",
A0129,Kantoku Izumikawa,J0036,Kōtarō Iha,medium,research:https://sites.google.com/tsuzukete.com/home/knowledge/history/kotaro-iha,
A0129,Kantoku Izumikawa,Q16006586,Kanki Izumigawa,medium,research:https://historyandstoriesofgojuryu.blogspot.com/2020/10/kanki-izumikawa-pioneer-of-goju-ryu-in.html | research:https://shuriway.com/izumigawa.html,
A0132,Seiko Fukuchi,A0123,Tetsuhiro Hokama,high,research:https://www.jissenkarate.com/tetsuhiro-hokama/ | research:https://www.kenshikai.org/hokama-tetsuhiro-hanshi.html,
A0132,Seiko Fukuchi,A0212,Iken Tokashiki,high,research:https://historyandstoriesofgojuryu.blogspot.com/2021/07/iken-tokashiki-okinawa-times-july-4th.html | research:https://sites.google.com/site/worldmartialartsstyles/karate/gohaku-kai,
A0138,Masanobu Shinjo,A0139,Masashi Shinjo,high,research:https://shobukanmaa.com/history | research:https://budojapan.com/karate/dm05e/,
A0138,Masanobu Shinjo,A0140,Takashi Shinjo,low,research:https://shobukanmaa.com/history,
A0138,Masanobu Shinjo,J0009,Seiki Takushi,medium,research:https://budojapan.com/karate/dm05e/,
A0138,Masanobu Shinjo,J0016,Nakazone Kinei (Nakasone Kinei),medium,research:https://www.sakuratakekan.org/escuelas/okinawa-karate-do-goju-ryu-seibukan/ (affiliated with Shinjo Masanobu's Shobukan from 1980; became its president in 1994 after Shinjo's death),
A0138,Masanobu Shinjo,J0037,Yoshio Taira,medium,research:https://okinawa-karate-navi.com/en/dojo/detail/24/,
A0138,Masanobu Shinjo,J0050,Shintoku Gushiken,high,"research:sakuratakekan.org: trained under Masanobu Shinjo (1938-1993, founder of the Goju-ryu Shobukan, student of Yagi Meitoku) from 1963",
A0148,Genshin Hironishi,J0117,Jotaro Takagi,high,research:https://www.shotokai.jp/about/teacher/takagi/,
A0148,Genshin Hironishi,Q3317210,Mitsusuke Harada,high,research:https://en.wikipedia.org/wiki/Mitsusuke_Harada,
A0149,Tadao Okuyama,Q3317210,Mitsusuke Harada,medium,research:https://en.wikipedia.org/wiki/Mitsusuke_Harada,
A0150,Son Duk-sung (Duk Sung Son),A0178,Han Cha-kyo,high,research:https://en.wikipedia.org/wiki/Han_Cha-kyo | research:https://en.wikipedia.org/wiki/Original_masters_of_taekwondo,
A0152,Yun Kwae-byung,A0176,Lee Chong-woo,medium,research:https://mookas.com/news/17833 | research:https://en.wikipedia.org/wiki/Jidokwan | research:http://www.worldtaekwondojidokwan.com/www/wt_6_5/832,
A0152,Yun Kwae-byung,J0074,Norio Nakamura,medium,research:https://ja.wikipedia.org/wiki/韓武舘,
A0152,Yun Kwae-byung,J0164,Bae Young-ki,medium,research:https://mookas.com/news/17833,
A0154,Yoon Byung-in,A0174,Park Chul-hee,high,research:https://en.wikipedia.org/wiki/Kang_Duk_Won | research:https://en.wikipedia.org/wiki/Kwan_(martial_arts),
A0154,Yoon Byung-in,A0175,Hong Jong-pyo,high,research:https://en.wikipedia.org/wiki/Kang_Duk_Won | research:https://en.wikipedia.org/wiki/Kwan_(martial_arts),
A0154,Yoon Byung-in,A0177,Lee Nam-suk,high,research:https://en.wikipedia.org/wiki/Chang_Moo_Kwan | research:https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%82%A8%EC%84%9D,
A0155,Chun Sang-sup,A0172,Lee Kyo-yoon,low,research:https://mookas.com/news/17833 | research:https://mookas.com/news/15642 | research:https://ko.wikipedia.org/wiki/%ED%95%9C%EB%AC%B4%EA%B4%80,
A0155,Chun Sang-sup,A0176,Lee Chong-woo,high,research:http://www.sportsseoul.com/news/read/273586 | research:https://mookas.com/news/13897 | research:https://mookas.com/news/17833,
A0155,Chun Sang-sup,J0164,Bae Young-ki,high,research:https://mookas.com/news/17833,
A0155,Chun Sang-sup,J0167,Jeon Il-seop,high,research:https://mookas.com/news/17833,
A0156,Uhm Woon-kyu,A0178,Han Cha-kyo,high,research:https://en.wikipedia.org/wiki/Han_Cha-kyo | research:https://en.wikipedia.org/wiki/Original_masters_of_taekwondo,
A0159,Takaji Shimizu,Q2576986,Donn F Draeger,high,research:https://en.wikipedia.org/wiki/History_of_Shint%C5%8D_Mus%C5%8D-ry%C5%AB | research:https://www.seidoshop.com/blogs/the-seido-blog/70-the-life-legacy-of-donn-f-draeger,
A0159,Takaji Shimizu,Q716152,Shoji Nishio,high,research:https://en.wikipedia.org/wiki/Shoji_Nishio,
A0160,Michael Gneck,Q862634,Bill Wallace,medium,research:https://en.wikipedia.org/wiki/Bill_Wallace_(martial_artist) | research:https://www.whistlekickmartialartsradio.com/blog/014-superfoot-bill-wallace,
A0161,Herbert Peters,Q3857461,Mike Stone,medium,research:https://en.wikipedia.org/wiki/Mike_Stone_(karate) | research:https://www.usadojo.com/mike-stone/,
A0165,Choei Motobu,A0166,Chotoku Inohama,low,research:https://ja.wikipedia.org/wiki/%E6%9C%AC%E9%83%A8%E5%BE%A1%E6%AE%BF | research:https://www.motobu-ryu.org/%E6%9C%AC%E9%83%A8%E6%B5%81%E3%81%A8%E3%81%AF/%E6%B5%81%E6%B4%BE%E7%B3%BB%E8%AD%9C/,
A0166,Chotoku Inohama,C00042,Chosho Motobu,low,research:https://ja.wikipedia.org/wiki/%E6%9C%AC%E9%83%A8%E5%BE%A1%E6%AE%BF | research:https://www.motobu-ryu.org/%E6%9C%AC%E9%83%A8%E6%B5%81%E3%81%A8%E3%81%AF/%E6%B5%81%E6%B4%BE%E7%B3%BB%E8%AD%9C/,
A0167,Motokuni Sugiura,Q15987564,Masaaki Ueki,high,research:https://ja.wikipedia.org/wiki/%E6%A4%8D%E6%9C%A8%E6%94%BF%E6%98%8E | research:https://www.jka.or.jp/about/person04/,
A0169,Yasuhiro Chitose,A0170,Naoyuki Chitose,medium,research:https://usa-ickf.com/history | research:https://www.ickf.ca/history,
A0176,Lee Chong-woo,J0165,Lee Seung-wan,medium,research:https://mookas.com/news/17833,
A0184,Fang Zhong,A0185,Fang Qiniang,medium,research:https://zh.wikipedia.org/wiki/方七娘 | research:https://zh.wikipedia.org/wiki/永春白鶴拳,
A0185,Fang Qiniang,A0186,Zeng Si,medium,research:https://zh.wikipedia.org/wiki/方七娘 | research:https://zh.wikipedia.org/wiki/永春白鶴拳,
A0185,Fang Qiniang,A0187,Zheng Li,low,research:https://zh.wikipedia.org/wiki/永春白鶴拳,
A0186,Zeng Si,A0187,Zheng Li,medium,research:https://zh.wikipedia.org/wiki/永春白鶴拳,
A0187,Zheng Li,A0188,Lin Shixian,low,research:https://zh.wikipedia.org/zh-hant/鳴鶴拳,
A0188,Lin Shixian,A0189,Pan Yuba (Lin Dachong),medium,research:https://zh.wikipedia.org/zh-hant/鳴鶴拳,
A0189,Pan Yuba (Lin Dachong),Q16907056,Xie Zongxiang,medium,research:https://zh.wikipedia.org/wiki/謝崇祥 | research:https://zh.wikipedia.org/zh-hant/鳴鶴拳,
A0190,Zheng Bugong,Q2473562,Kanbun Uechi,low,research:https://zh.wikipedia.org/zh-hans/虎尊拳,
A0198,Akira Shiomi,Q2869852,Atsuko Wakai,medium,research:https://en.wikipedia.org/wiki/Atsuko_Wakai,
A0200,Fizuli Musayev,A0201,Rafael Aghayev,high,research:https://en.wikipedia.org/wiki/Rafael_Aghayev,
A0202,Jesus del Moral,A0203,Sandra Sanchez,high,research:https://en.wikipedia.org/wiki/Sandra_S%C3%A1nchez,
A0204,Yasunari Ishimi,A0202,Jesus del Moral,medium,research:https://sandra-san.com/en/jesus-del-moral-the-perfect-balance/,
A0205,Azad Kazimov,A0200,Fizuli Musayev,high,research:https://az.wikipedia.org/wiki/Füzuli_Musayev | research:https://www.olympic.az/athlete/fuzuli-musayev,
A0206,Mir-Ali Seyidov,A0200,Fizuli Musayev,medium,"research:https://ru.wikipedia.org/wiki/Сейидов,_Мирали_Мирджалал_оглы",
A0207,Chohei Motobu,A0208,Chokan Motobu,low,research:https://ja.wikipedia.org/wiki/本部御殿 | research:https://www.motobu-ryu.org/本部御殿について/,
A0208,Chokan Motobu,A0209,Chochi Motobu,low,research:https://ja.wikipedia.org/wiki/本部御殿 | research:https://www.motobu-ryu.org/本部御殿について/,
A0209,Chochi Motobu,A0210,Choryu Motobu,low,research:https://ja.wikipedia.org/wiki/本部御殿 | research:https://www.motobu-ryu.org/本部御殿について/,
A0210,Choryu Motobu,C00028,Choko Motobu,low,research:https://ja.wikipedia.org/wiki/本部御殿 | research:https://www.motobu-ryu.org/本部御殿について/,
A0211,Seiken Shukumine,J0126,Sadao Ayase,high,research:https://ja.wikipedia.org/wiki/玄制流,
A0211,Seiken Shukumine,J0127,Kunihiko Tosa,medium,research:https://ja.wikipedia.org/wiki/玄制流,
A0211,Seiken Shukumine,J0130,Koichi Taniguchi,high,research:https://ja.wikipedia.org/wiki/祝嶺正献,
A0212,Iken Tokashiki,J0020,Kinjō Yoshitaka,medium,research:http://takakarate.com/index/?page_id=5 (became a student of Sensei Iken Tokashiki in Okinawa in 1968; teaches Gohakukai karate),
A0213,Sokishi Shinzato,A0020,Shian Toma,medium,research:https://seidokankarate.org/shian-toma-biography | research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
A0217,So Nei Chu,Q294548,Mas Oyama,high,research:https://en.wikipedia.org/wiki/Mas_Oyama | research:http://the-martial-way.com/the-early-martial-arts-training-of-mas-oyama/,
A0218,Takeo Maruta,Q268880,Gogen Yamaguchi,medium,research:https://en.wikipedia.org/wiki/G%C5%8Dgen_Yamaguchi | research:https://ja.wikipedia.org/wiki/%E5%B1%B1%E5%8F%A3%E5%89%9B%E7%8E%84 | research:http://seinenkai.com/articles/noble/noble-yamaguchi.html,
A0221,Uhugushiku,A0019,Seiyu Oyata,low,research:https://en.wikipedia.org/wiki/Ry%C5%AB-te,
A0222,Wakinaguri,A0019,Seiyu Oyata,low,research:https://en.wikipedia.org/wiki/Ry%C5%AB-te,
A0228,So Nei-chu,Q294548,Mas Oyama,high,research:https://en.wikipedia.org/wiki/Mas_Oyama | research:http://the-martial-way.com/the-early-martial-arts-training-of-mas-oyama/,
A0229,Yang Kuk-jin,A0001,Hwang Kee,medium,research:https://en.wikipedia.org/wiki/Hwang_Kee,
A0231,Larry Tatum,Q1052982,Jeff Speakman,high,research:https://en.wikipedia.org/wiki/Jeff_Speakman,
A0232,Al Tracy,Q6167244,Jay T Will,high,research:https://en.wikipedia.org/wiki/Jay_T._Will,
A0233,Sokaku Takeda,J0178,Choi Yong-sool,medium,research:https://ko.wikipedia.org/wiki/최용술,
A0233,Sokaku Takeda,Q182130,Morihei Ueshiba,high,research:https://en.wikipedia.org/wiki/Morihei_Ueshiba | research:https://en.wikipedia.org/wiki/Sokaku_Takeda | research:https://aikidojournal.com/2015/09/25/sokaku-takeda/,
A0234,Tsunetoshi Iikubo,Q190141,Jigoro Kano,high,research:https://en.wikipedia.org/wiki/Kan%C5%8D_Jigor%C5%8D | research:https://kodokanjudoinstitute.org/en/doctrine/founder/,
A0235,Kisshomaru Ueshiba,Q1082144,Christian Tissier,high,research:https://en.wikipedia.org/wiki/Christian_Tissier,
A0236,Ishimine Pechin,C00508,Shinbi Kaneshima,high,research:https://okic.okinawa/en/archives/newstopics/p3475 | research:https://medium.com/@motobu715/ishimine-ry%C5%AB-a-forgotten-karate-school-811e54797adc,
B0004,Ch'en Yu-an,C00634,Tung Chin,medium,book:Bishop p.20,
B0012,Shiroma (Gusukuma) of Tomari,Q527422,Anko Itosu,high,book:Bishop p.106,
B0015,Heisaburo Nakamura,C00329,Masakazu Miyagi,high,book:Bishop p.152,
B0022,One-Eyed Toguchi,C00476,Seikichi Hokama,high,book:Bishop p.84,
B0023,Ho Feng,C00634,Tung Chin,medium,book:Bishop p.17,
B0025,Ten Senshi,C00476,Seikichi Hokama,high,book:Bishop p.84,
B0028,Kanzo Nakandakari,C00494,Seitoku Higa,high,book:Bishop p.174,
B0030,Soeishi,KN006,Chinen Shikiyanaka,medium,research:https://www.nihonkobudokyoukai.org/martialarts/062/,
B0031,Shingo Araki,C00494,Seitoku Higa,medium,book:Bishop p.171,
C00003,Anbun Tokuda,A0041,Yoshihide Shinzato,medium,research:https://es.wikipedia.org/wiki/Yoshihide_Shinzato | research:https://shinshukan.com.br/historia-da-shinshukan,
C00003,Anbun Tokuda,C00129,Horoku Ishikawa,high,book:Bishop p.127,
C00003,Anbun Tokuda,Q3194253,Katsuya Miyahira,high,research:https://en.wikipedia.org/wiki/Katsuya_Miyahira,
C00003,Anbun Tokuda,W0002,Hiroshi Kinjo,high,research:https://ja.wikipedia.org/wiki/%E9%87%91%E5%9F%8E%E8%A3%95,
C00016,Chinsaku Kinjo,Q1691502,Joe Lewis,medium,research:https://en.wikipedia.org/wiki/Joe_Lewis_(martial_artist),
